# BP  mU1[TeV] mU2[TeV] lambda3 senthetaU C22[TeV] Q22 xsec1LQu/xsec2LQu xsec_Th[fb] xsec_full_pdf[pb]
502	1.99811	0.44707	0.98775	0.21818	-1.11182	0.58139	0.7697101592640222	32.4008	0.029514
315	2.47681	0.47386	0.53913	-0.17036	-1.20432	0.30441	0.7448999543765886	32.3245	0.029063
455	2.44587	0.4163	0.1491	0.13927	-0.85268	0.09274	0.7599437995517345	32.4483	0.029159
586	2.12698	0.57126	0.06881	0.23096	-1.69711	0.05327	0.8143463000877448	29.2402	0.026291
62	2.17136	0.49713	0.81264	-0.20675	-1.27186	0.43563	0.7753270894401946	29.3804	0.026473
219	2.29657	0.53101	0.02442	0.20175	-1.56397	0.04222	0.7881431251851607	32.0584	0.028838
279	2.2491	0.5149	0.17874	-0.19317	-1.33039	0.14115	0.8108954289292423	29.4037	0.027073
599	2.03142	0.45556	2.26646	-0.23521	-1.08839	1.17249	0.7102260869565217	29.3719	0.026891
28	2.48577	0.40851	1.77135	-0.16675	-0.89641	0.86377	0.6375711000847151	35.6844	0.031895
500	2.29661	0.46398	1.06436	0.19931	-1.29745	0.55208	0.7065526247811487	37.0363	0.032586
63	2.32483	0.51183	0.03147	-0.19825	-1.52984	0.09955	0.7884223399918467	33.6409	0.030111
563	2.08513	0.47987	0.73026	-0.22278	-1.37856	0.40726	0.7369334392188006	35.3438	0.031958
220	2.14249	0.56356	0.11939	0.23556	-1.74605	0.15144	0.8228812072293386	29.7905	0.027293
684	2.13561	0.45587	1.43412	0.19036	-0.86932	0.74517	0.7730952875233548	26.005	0.02388
658	2.27559	0.60963	0.27621	-0.20091	-1.41874	0.19315	0.8776699934707582	23.2646	0.021211
635	2.05876	0.53331	0.49133	-0.21492	-1.28621	0.26447	0.8181672476659855	26.1428	0.023835
626	2.18903	0.40561	1.39628	0.16978	-0.70478	0.70809	0.7120725269680974	28.434	0.025805
673	2.09519	0.48263	1.84657	-0.21497	-1.01943	0.95567	0.7749864147473144	25.8952	0.023826
678	2.41955	0.57427	0.45153	0.1916	-1.46043	0.25999	0.8451537138782871	26.1324	0.023729
668	2.05366	0.62116	0.34466	-0.23601	-1.5414	0.19733	0.8752467067517326	23.4612	0.021333
685	2.13998	0.58064	0.94395	0.21319	-1.2591	0.48227	0.8651716888577435	23.2436	0.021063
787	2.34306	0.40403	2.45151	-0.17405	-0.65513	1.25411	0.6965357967667436	25.3577	0.022915
841	2.36386	0.49944	3.27047	-0.18783	-0.67503	1.63052	0.8219026548672567	20.1786	0.018574
850	2.16658	0.4308	2.11698	-0.17977	-0.62429	1.06087	0.7508120225078915	23.1135	0.021237
763	2.04905	0.66298	2.05153	0.25588	-1.34714	1.06273	0.8939434012166092	20.1905	0.018535
728	2.27308	0.55231	3.87817	0.21798	-0.84717	1.91404	0.8393230143002518	20.1072	0.018377
765	2.25815	0.52048	2.24432	0.20185	-0.97958	1.12716	0.8156966075377594	22.6796	0.020797
826	2.41574	0.42204	1.61861	0.13122	-0.38289	0.80389	0.8387993026803224	20.2367	0.018431
732	2.27994	0.55535	0.33071	-0.15046	-0.78432	0.19352	0.8928457531625386	20.2313	0.018509
804	2.22944	0.66988	0.58596	0.20814	-1.37719	0.2975	0.8975418302003718	20.6791	0.018663
758	2.17111	0.46895	3.25763	-0.22171	-0.89336	1.65504	0.748919677462467	23.1666	0.021439
752	2.22768	0.60577	0.64815	0.18281	-1.01449	0.39114	0.9215559157212319	20.0613	0.018537
754	2.12573	0.41513	1.28342	0.16483	-0.59923	0.68038	0.8034168140769016	23.1559	0.021141
791	2.53487	0.68575	0.09249	0.16161	-1.19188	0.08045	0.925009495903196	19.7007	0.017845
1017	2.22975	0.78758	0.49998	-0.06838	-0.03961	0.25415	1.0002546797402265	17.051	0.015561
855	2.28891	0.41324	3.97452	0.15969	-0.05516	1.96907	0.8925119216393864	16.3786	0.014886
1103	2.36934	0.56209	3.25946	-0.15302	-0.17852	1.63914	0.935281440162272	17.1011	0.015426
881	2.22697	0.72089	2.85818	-0.17255	-0.34578	1.41644	0.9562460765850597	17.1852	0.015411
1036	2.44623	0.51528	0.62451	-0.07316	-0.08873	0.32267	0.9675751579753623	17.0544	0.015382
872	2.14953	0.4512	0.05043	0.04484	-0.05776	0.02907	1.0001903432523316	17.1762	0.015636
875	2.20796	0.64376	1.00067	0.11779	-0.23604	0.52867	0.9821994172051184	17.1323	0.015552
996	2.4673	0.48821	0.67527	0.08186	-0.14553	0.34764	0.9483536171001421	17.1399	0.015662
1035	2.43276	0.63705	0.1113	-0.06742	-0.17258	0.06141	0.9930413687436158	17.0255	0.015441
1087	2.14783	0.74543	1.42002	0.13711	-0.24848	0.73175	0.9687856147904268	17.0396	0.015308
933	2.07159	0.40691	3.96283	-0.20082	-0.33318	1.96137	0.8038461538461538	18.6717	0.017031
1104	2.30391	0.72922	3.74948	0.1986	-0.5552	1.86168	0.9679710788355426	17.463	0.015951
