num_photons,num_jets,num_btag,MET_pT,MET_phi,photon1_pT,photon1_eta,photon1_phi,photon2_pT,photon2_eta,photon2_phi,btag1_pt,btag1_eta,btag1_phi,btag2_pt,btag2_eta,btag2_phi,m_hh,m_phopho,m_bb,pT_hh,pT_phopho,pT_bb,dR_hh,dR_phopho,dR_bb
2.0,2.0,2.0,22.47,-0.228,204.08,0.168,-2.626,148.75,-0.261,3.073,180.25,0.056,-0.314,38.17,-0.96,0.04,567.77264,125.466385,92.66951,185.59163,344.94528,202.9668,2.621074,0.7247854,1.0759052
2.0,0.0,2.0,168.37,-1.183,157.63,-0.156,1.492,121.65,-0.942,1.951,77.59,0.804,-1.171,56.15,-0.547,-2.452,463.82483,128.21382,124.34135,169.23973,258.3566,105.227425,2.988208,0.91020703,1.8617631
2.0,3.0,2.0,31.83,0.432,240.68,0.163,2.531,121.44,0.636,3.105,190.69,-0.019,0.139,47.26,0.657,-0.829,598.4644,126.61159,109.922005,165.88853,353.14688,229.46979,2.7666874,0.74377763,1.1806779
2.0,2.0,2.0,75.69,-0.091,317.68,0.601,2.476,59.6,-0.015,1.767,185.85,1.531,-0.257,81.97,1.954,-0.926,757.29596,128.6085,96.6146,145.54999,367.94025,262.75867,3.0562148,0.93922156,0.7915111
2.0,0.0,2.0,39.62,1.588,110.52,-0.143,-0.124,84.12,-0.386,-1.466,69.82,0.711,3.088,32.96,0.669,1.729,321.08414,122.18175,60.324673,74.98763,193.2316,102.76025,3.0549946,1.3638232,1.3596488
2.0,1.0,2.0,74.18,0.73,99.88,1.208,-1.064,83.23,1.596,-2.447,97.87,1.145,0.699,44.6,1.404,1.622,324.3983,121.611244,61.290318,66.05042,179.70369,141.44443,2.6617255,1.436396,0.95865023
2.0,2.0,2.0,26.81,-0.848,251.6,0.485,1.364,58.34,-0.294,2.033,124.64,0.058,-0.646,47.56,0.71,-0.674,436.9363,125.28026,51.138603,252.75859,295.9676,164.98755,2.1406648,1.0268408,0.6526009
2.0,0.0,2.0,29.4,2.108,106.03,1.685,0.577,104.51,1.107,-0.501,138.54,1.546,-2.622,54.82,1.895,2.478,417.0814,124.434044,101.89557,32.273277,201.80923,190.97746,2.9831102,1.2231797,1.233584
2.0,2.0,2.0,32.61,2.674,127.77,0.504,0.85,115.39,1.233,0.149,196.52,-0.871,-1.971,187.84,-0.743,-1.402,819.8828,123.05076,110.62573,295.9224,227.22775,383.5735,2.7644708,1.0113565,0.5832195
2.0,0.0,2.0,13.44,-2.729,176.4,0.678,1.828,129.2,0.95,2.627,195.32,0.367,-0.542,179.99,-0.139,-0.914,724.6162,124.452965,118.33826,120.23124,302.8458,363.3826,2.9593077,0.84402907,0.6280287
