num_photons,num_jets,num_btag,MET_pT,MET_phi,photon1_pT,photon1_eta,photon1_phi,photon2_pT,photon2_eta,photon2_phi,btag1_pt,btag1_eta,btag1_phi,btag2_pt,btag2_eta,btag2_phi,m_hh,m_phopho,m_bb,pT_hh,pT_phopho,pT_bb,dR_hh,dR_phopho,dR_bb
2.0,1.0,3.0,35.83,1.156,181.86,-0.778,0.767,50.65,0.366,1.148,797.28,-0.86,-1.837,187.76,-0.359,-2.007,1004.0287,121.44755,206.59752,779.17975,208.00137,966.18274,2.7304711,1.2057766,0.5290567
2.0,2.0,2.0,61.73,-2.532,268.0,1.052,0.424,110.29,0.72,1.12,70.52,1.844,2.512,35.67,0.421,2.03,378.70007,130.52773,81.15697,358.17575,373.9989,83.58387,1.7711177,0.7711289,1.5024158
2.0,3.0,2.0,29.49,1.059,79.83,-0.417,-0.035,68.89,-0.467,-2.005,94.69,0.285,-2.831,78.32,0.556,2.297,338.75662,123.644104,96.910904,98.082886,148.67378,171.43845,2.5806985,1.9706345,1.1865468
2.0,1.0,2.0,10.97,-2.298,83.49,-0.455,0.073,73.35,-0.139,1.919,97.07,-1.545,-1.101,34.35,-1.492,-2.564,336.62854,127.25136,77.20496,79.403,154.8946,131.38437,2.639498,1.8728514,1.4639598
2.0,2.0,2.0,39.54,1.24,110.94,-0.534,2.663,95.0,-0.922,1.425,188.38,-0.408,1.166,165.74,0.164,1.613,355.4354,125.69457,128.96599,484.14688,202.10013,339.7957,0.9236289,1.2973775,0.72594285
2.0,1.0,2.0,38.86,-2.896,158.82,-0.983,0.326,67.35,-0.016,0.966,92.13,-0.48,3.118,55.85,-1.686,-3.051,411.98712,122.638084,92.21142,111.22912,204.71,123.60638,2.661725,1.1596073,1.2113936
2.0,2.0,3.0,30.36,0.94,88.51,-0.359,0.889,65.86,-0.111,2.658,259.91,-0.889,-0.898,187.36,-0.673,-2.489,583.32263,119.6435,318.81323,217.9566,153.21034,444.73282,3.1729436,1.7862992,1.6055954
2.0,3.0,2.0,15.65,0.342,176.06,0.169,-1.394,165.99,0.542,-0.773,447.03,0.557,-2.192,89.57,0.897,-1.832,488.98206,122.579704,99.02967,751.2327,336.12378,532.3113,1.0727501,0.7244102,0.49517667
2.0,1.0,2.0,4.45,-1.074,142.32,-1.299,1.202,38.64,-0.53,2.821,110.09,0.35,-2.119,43.37,1.533,-1.384,530.13165,122.24544,99.8192,35.67738,172.19647,132.70941,3.42768,1.792351,1.3927361
2.0,1.0,2.0,23.97,1.777,185.14,-1.028,-1.529,102.7,-0.214,-1.218,111.85,-0.248,0.936,33.2,0.31,-0.265,410.87164,123.02023,77.00083,245.03673,266.334,141.11331,2.1971033,0.871388,1.3242979
2.0,2.0,2.0,66.88,-2.477,148.49,-0.278,0.237,51.27,0.473,-1.049,53.36,1.096,2.102,35.29,0.348,-2.393,309.27316,124.288445,75.37952,117.66406,189.23088,82.785576,2.9369533,1.4892269,1.9383268
2.0,1.0,2.0,11.74,-1.953,94.05,-1.222,0.388,63.68,0.253,0.714,147.74,-1.551,-2.27,117.39,-0.88,-2.487,491.46323,127.28489,94.44314,119.65219,118.516914,250.54724,2.95694,1.5105963,0.7052163
2.0,2.0,2.0,12.95,-2.603,267.52,-0.203,1.335,150.58,-0.071,0.72,229.52,-0.33,-1.889,101.12,-0.989,-1.956,774.4793,124.35756,102.730194,81.35201,417.261,315.59958,3.049336,0.6290063,0.6623972
2.0,1.0,2.0,18.47,0.588,363.23,-0.677,-0.853,71.59,-0.516,-1.596,302.36,-0.117,2.424,59.96,-0.314,1.907,818.8832,119.9267,73.788246,90.35517,434.0459,361.35086,3.0155456,0.7602434,0.5532612
2.0,2.0,2.0,45.03,-1.388,137.14,-2.012,1.977,91.6,-1.936,0.814,92.43,-0.502,-3.036,79.51,-0.447,-1.886,494.8958,123.42106,93.361755,152.1008,228.5814,171.87535,2.7051947,1.1654805,1.1513145
2.0,1.0,2.0,104.31,-1.939,388.2,0.56,0.795,60.89,0.131,0.12,133.31,0.648,1.855,81.96,-0.292,1.738,402.33585,121.59143,102.64422,567.76495,444.29483,193.33171,1.1238785,0.7997912,0.9472534
2.0,2.0,2.0,7.56,-2.369,98.24,1.535,3.114,66.26,2.276,1.656,67.81,-1.46,-0.578,48.34,-0.402,-1.766,668.82806,123.669525,90.17564,58.577282,153.77466,100.75398,3.9024525,1.6354953,1.59082
2.0,2.0,3.0,62.93,-2.156,315.31,0.374,1.167,174.33,0.086,0.727,124.47,2.089,-1.661,74.68,1.172,-1.767,831.541,122.72771,92.10903,309.3061,484.99432,179.93587,3.083347,0.52587456,0.9231061
2.0,1.0,2.0,68.29,2.308,238.12,-0.565,-1.21,151.97,-1.14,-0.878,153.17,-0.266,1.95,112.94,0.388,2.228,729.9876,127.47486,94.8416,121.41055,374.87582,252.33995,3.2357838,0.6639646,0.7106335
2.0,3.0,2.0,28.66,2.875,119.64,-1.903,0.364,90.66,-1.237,1.388,151.47,-0.887,3.033,70.71,-0.34,2.962,462.4275,124.11789,57.78699,185.18489,198.97299,215.03116,2.3891177,1.2215285,0.55158865
2.0,1.0,2.0,32.54,-0.013,148.94,1.617,1.869,80.56,1.686,0.675,144.13,2.066,-2.658,122.43,1.188,-2.018,496.33356,123.388596,146.57384,162.13614,229.37555,241.46024,2.4464636,1.1959921,1.0865009
2.0,1.0,2.0,11.8,-0.6,87.81,-0.025,-2.919,79.05,-1.243,-2.338,66.76,-0.464,-0.813,36.67,-0.451,0.337,274.63275,117.95504,53.819744,127.64713,136.95369,103.428,2.2246516,1.3494759,1.1500736
2.0,2.0,2.0,10.61,-2.523,160.76,-1.68,3.071,92.82,-0.783,2.593,170.33,-0.922,0.13,62.66,-0.451,-1.141,532.98645,127.19296,132.11203,51.02428,230.3918,227.9476,3.1231632,1.0164119,1.3554639
2.0,0.0,2.0,9.79,-2.797,132.97,0.803,-0.864,122.03,0.76,0.102,104.26,1.215,3.097,98.09,0.905,2.213,462.17258,118.44941,92.062325,45.173553,254.94116,199.9264,3.0858605,0.9669566,0.9367797
2.0,1.0,2.0,76.15,2.971,224.63,-0.205,-0.483,31.72,-0.516,1.146,171.64,-0.01,2.171,44.74,-0.387,2.875,466.12305,125.5955,68.96178,106.086105,255.01315,213.87317,2.6571712,1.6584216,0.7985894
2.0,1.0,2.0,102.44,-0.587,211.72,-0.015,1.236,149.24,0.324,1.856,279.5,-0.265,-0.786,174.74,-0.173,-0.266,727.91144,124.20902,115.4342,406.0647,355.94324,453.78506,2.1079974,0.7066266,0.52807575
2.0,0.0,2.0,23.91,-0.929,244.5,-1.083,-3.08,174.91,-1.121,2.577,272.44,0.848,-0.275,115.12,1.31,0.252,1299.9968,127.63097,123.794106,37.875927,419.33643,378.9811,3.7066455,0.6273379,0.7008373
2.0,3.0,2.0,52.83,-1.64,133.69,1.735,1.416,67.49,0.486,1.365,170.03,0.783,-0.855,71.12,1.761,-1.404,481.07184,126.59623,126.77621,157.78824,167.73546,217.89911,2.4226136,1.2500409,1.1215547
2.0,3.0,2.0,48.17,2.994,207.69,1.086,0.481,172.57,1.074,-0.202,238.33,1.342,-0.785,99.53,1.127,-1.466,444.37527,126.825455,108.08781,570.6569,380.2532,336.23962,1.1701438,0.68310547,0.7141331
2.0,1.0,2.0,39.79,2.371,430.71,0.491,2.133,121.02,0.025,1.836,342.29,0.636,-1.904,164.63,0.359,-1.556,1010.7389,126.84487,105.39096,370.89218,541.56274,502.6646,2.4285665,0.55259836,0.44478425
2.0,1.0,2.0,41.22,3.108,181.58,2.011,0.457,180.29,2.101,-0.23,167.41,1.75,-2.914,87.67,1.749,2.709,615.78284,122.95534,78.53565,103.06363,361.50366,255.07999,3.0464447,0.69287014,0.6601861
2.0,1.0,2.0,32.81,-0.585,119.47,0.059,2.751,51.9,0.66,-1.849,100.42,-0.586,-0.203,43.22,-0.627,-1.569,342.62494,126.88439,83.2004,72.7962,164.90804,143.61461,2.6698594,1.7872648,1.366615
2.0,0.0,2.0,9.56,-0.284,63.46,-0.099,-2.247,54.73,-1.589,2.743,102.25,-0.236,0.561,42.88,-1.163,-0.307,311.2996,119.54005,84.536835,39.560345,87.08141,132.5036,3.143126,1.9729239,1.2699423
2.0,2.0,2.0,18.31,-2.757,277.3,0.516,-0.761,110.19,0.102,-0.153,393.46,0.878,2.1,80.63,0.715,2.6,873.4748,127.53038,92.801216,178.18706,380.76993,473.20215,2.8112917,0.7355678,0.5258983
2.0,0.0,2.0,17.55,2.255,119.23,-0.998,-1.133,79.58,-2.086,-1.648,162.45,-1.268,1.483,34.15,-1.831,2.554,428.1539,121.84322,87.0822,30.937271,171.34418,192.19542,2.9880223,1.2037312,1.2099626
2.0,1.0,2.0,55.72,-1.313,271.56,-1.3,0.862,44.77,-1.015,-0.295,265.07,-1.632,0.036,99.64,-1.65,-1.111,436.23502,124.63035,176.37906,540.7365,314.77582,364.6983,1.0445013,1.1915845,1.1471413
2.0,0.0,2.0,19.53,1.543,110.55,1.045,-2.254,80.89,0.259,-1.182,96.86,1.369,1.648,52.4,1.576,0.245,376.0709,123.06165,93.13366,51.483845,177.20985,148.5323,3.0906875,1.3292778,1.4181885
2.0,0.0,2.0,18.15,0.741,133.4,-1.689,-1.75,51.29,-1.21,-0.14,126.68,-1.809,2.076,38.16,-1.512,0.345,356.32675,125.77998,107.88902,14.748845,180.47252,163.55103,3.1373646,1.6797444,1.7562946
2.0,0.0,2.0,14.27,1.296,172.42,1.976,-2.869,150.77,1.231,-2.822,240.01,1.541,0.058,77.66,2.271,0.359,678.1574,123.14838,109.8082,52.68456,301.12888,302.34872,2.9798405,0.74648106,0.78962064
2.0,1.0,2.0,86.9,2.108,152.83,-1.345,-1.431,122.77,-0.575,-0.945,143.69,0.037,1.995,37.58,-0.846,2.287,523.5577,126.61105,70.342995,92.02336,255.67499,170.04453,3.1288254,0.91054714,0.9300285
2.0,1.0,2.0,47.91,-1.572,382.56,-0.153,2.745,195.78,0.292,2.738,526.24,0.673,-0.766,109.51,1.086,-0.855,1300.1659,122.80732,102.10939,237.33281,565.5871,628.0823,2.8584454,0.44505504,0.42248076
2.0,0.0,2.0,18.44,2.159,156.88,0.452,-0.908,59.08,1.265,-1.992,108.21,0.219,1.612,66.79,-0.882,2.404,473.88275,127.8145,118.25367,30.729885,202.09561,150.71169,3.2198906,1.3549999,1.3562689
2.0,1.0,2.0,0.46,-1.384,118.7,0.608,1.958,61.82,-0.022,-2.949,160.04,0.882,-0.732,38.88,0.449,-1.891,396.0023,121.85246,92.99788,45.806717,172.54004,196.01187,2.986207,1.5135345,1.237243
2.0,0.0,2.0,9.65,-1.219,101.67,-0.353,-0.751,95.1,-0.739,0.557,128.43,0.451,-2.878,46.53,0.903,2.356,438.40118,125.58924,85.077896,19.74335,193.12073,171.49564,3.2140496,1.3637668,1.1424067
2.0,1.0,2.0,44.61,-0.492,184.23,-0.738,2.805,135.43,-0.034,3.131,68.15,-0.464,0.066,31.66,-0.259,0.788,370.51346,124.551994,34.1718,236.46213,300.5314,99.35632,2.6533442,0.775817,0.750539
2.0,0.0,2.0,52.21,-0.34,145.39,-0.701,2.901,141.65,-1.548,3.016,107.74,0.483,-0.108,76.59,0.525,-0.533,650.6621,126.298935,38.50637,108.67429,261.6863,184.29053,3.4458027,0.8547713,0.4270702
2.0,0.0,2.0,84.1,-0.24,146.68,0.655,-2.968,101.46,0.109,2.418,53.86,1.178,-0.274,39.73,1.919,0.867,368.41486,125.478676,61.04205,154.10384,239.2613,87.38947,2.9526653,1.0502657,1.3605007
2.0,2.0,2.0,29.04,2.313,135.81,-2.013,-1.199,75.24,-0.999,-0.511,106.75,-1.383,2.089,105.42,-0.956,2.871,462.58,126.83492,92.85166,57.952957,186.83034,207.35294,2.8868642,1.2253734,0.89098436
2.0,0.0,2.0,28.14,2.667,104.81,0.901,1.08,74.57,0.809,-0.466,112.44,1.465,-2.568,91.24,0.728,-1.703,389.74112,123.733574,114.18602,93.018486,179.19565,190.1601,2.6672559,1.5487348,1.1363952
2.0,1.0,2.0,52.66,-0.259,248.66,0.64,2.867,126.38,-0.038,2.952,160.06,0.223,-0.238,35.16,0.203,0.245,562.5962,123.42895,35.913906,184.5408,356.02542,195.21423,3.0542572,0.68330735,0.48341393
2.0,0.0,2.0,14.24,-2.308,124.5,-1.92,0.527,108.71,-1.005,0.054,138.13,-2.123,-2.378,62.11,-1.63,2.779,472.88873,122.948364,109.11589,58.523117,209.3428,195.0712,3.0502172,1.0300262,1.2293669
2.0,0.0,2.0,41.66,1.5,96.14,1.355,-1.731,84.92,1.667,3.092,62.21,1.033,-0.114,46.54,2.282,1.437,307.76184,123.80306,103.97614,60.83344,178.86981,88.69852,2.927832,1.4931461,1.991382
2.0,0.0,2.0,24.28,2.913,86.23,-0.823,-0.294,83.78,0.074,0.986,54.92,0.041,-2.317,42.99,0.59,-2.918,299.50806,128.52692,39.460136,49.826843,153.19943,94.2998,2.98957,1.5630127,0.8140037
2.0,3.0,2.0,58.52,1.425,522.55,0.373,0.567,159.49,-0.019,0.402,219.38,-0.825,2.156,81.28,-0.707,1.462,809.3555,123.431145,92.181946,770.68164,672.7073,300.2473,1.8001873,0.42531046,0.70396024
2.0,1.0,2.0,20.7,2.573,244.22,0.095,-1.064,70.35,-0.492,-0.322,213.7,-0.176,2.18,76.76,0.06,1.701,614.0826,122.983795,67.897804,55.26673,305.2906,288.89035,2.960836,0.9461146,0.5339823
2.0,2.0,2.0,50.28,-2.404,245.33,-0.077,0.935,209.52,0.413,1.124,149.79,-0.755,-2.957,87.0,-0.168,-3.06,666.1831,120.087814,68.98469,351.76816,441.35248,227.39093,2.367979,0.5251866,0.5959681
2.0,2.0,2.0,207.65,-0.989,415.72,-0.308,1.263,129.65,-0.404,1.798,205.15,-0.796,2.833,94.72,-0.691,-2.589,654.50714,124.73818,117.28981,564.3441,544.91473,299.5129,1.7620775,0.54354495,0.8675628
2.0,2.0,2.0,96.11,2.707,213.29,-0.36,-1.124,38.08,-0.327,-2.688,120.93,-1.983,1.126,30.46,-1.229,0.354,493.46152,127.05357,65.44993,164.82991,251.3524,144.64487,2.7115023,1.5643481,1.0791202
2.0,1.0,2.0,38.19,-1.69,166.35,0.566,1.677,45.21,1.214,3.059,109.15,0.788,-1.484,106.16,0.742,-0.581,433.2345,124.45271,94.06454,35.577114,204.22693,215.25307,2.9655056,1.5263773,0.904171
2.0,1.0,2.0,12.38,0.416,138.01,-0.841,0.109,39.66,-1.794,1.677,129.72,-0.431,-2.83,85.24,-0.137,-1.792,433.0989,127.574326,108.83155,69.09581,164.1968,212.74142,2.916091,1.8348933,1.0788326
2.0,1.0,2.0,30.55,3.13,166.21,0.103,-0.468,62.96,-0.537,0.708,105.28,-0.018,3.057,64.81,0.495,-2.228,407.02423,131.58266,89.93204,92.27247,219.94754,164.84534,2.6964083,1.3388712,1.1222937
