num_photons,num_jets,num_btag,MET_pT,MET_phi,photon1_pT,photon1_eta,photon1_phi,photon2_pT,photon2_eta,photon2_phi,btag1_pt,btag1_eta,btag1_phi,btag2_pt,btag2_eta,btag2_phi,m_hh,m_phopho,m_bb,pT_hh,pT_phopho,pT_bb,dR_hh,dR_phopho,dR_bb
2.0,1.0,2.0,10.16,1.035,123.13,1.137,-0.961,122.9,0.361,-1.577,60.0,0.342,1.744,41.43,-0.11,1.912,357.8266,123.05275,24.218979,133.69054,227.74202,98.938225,3.137763,0.9907734,0.4822116
2.0,0.0,2.0,52.96,-0.31,118.09,0.22,2.304,90.56,-0.283,-2.826,90.93,-1.365,-0.624,45.52,-2.006,0.618,467.47696,124.40673,85.81904,63.41609,202.20201,130.28947,3.4201286,1.2581117,1.3976569
2.0,0.0,2.0,55.81,-3.122,147.23,-0.484,-0.766,54.69,0.177,0.568,91.76,0.169,2.608,34.83,0.228,-2.627,341.41544,126.38927,56.67981,60.815014,193.33865,126.546074,2.9997194,1.4887838,1.0498447
2.0,2.0,2.0,55.85,1.752,289.39,-0.838,-1.876,99.94,-1.027,-2.627,146.12,-1.817,2.125,57.16,-1.366,0.965,584.3274,128.82407,108.45062,267.13895,388.00494,199.12938,2.5276635,0.7744174,1.2445887
2.0,0.0,2.0,31.98,-2.773,170.59,-0.222,1.11,49.5,-0.193,-0.381,118.54,0.652,-2.486,35.52,-0.336,-2.421,404.92984,124.69687,66.88263,38.70518,220.07385,141.23752,3.0425978,1.4912819,0.9901359
2.0,0.0,2.0,16.73,-0.529,94.18,-1.797,0.556,89.52,-2.277,1.943,74.53,-0.47,-1.968,74.16,-1.724,-2.237,407.895,125.5401,101.43686,27.892298,178.43823,120.408066,3.0972362,1.4677087,1.2825274
2.0,1.0,2.0,27.69,0.153,107.89,2.218,1.846,47.9,1.358,0.208,92.39,0.84,-1.182,51.16,1.279,-3.016,350.2832,122.85604,113.307205,21.893948,143.79906,140.39305,3.2657611,1.8500386,1.8858093
2.0,0.0,2.0,5.92,1.736,145.23,-0.732,1.278,63.78,-0.842,2.684,173.58,-0.642,-1.229,43.42,0.063,-2.062,437.12393,124.89431,94.01055,41.216816,208.74197,208.55598,3.0601134,1.4102964,1.09129
2.0,0.0,2.0,49.24,-2.327,211.24,-0.112,1.047,128.78,-0.669,1.523,160.75,0.803,-2.308,67.14,1.576,-2.105,720.4996,121.27855,84.96942,138.1484,327.70367,214.00854,3.1212764,0.7326835,0.7992109
2.0,2.0,2.0,29.88,-2.486,319.0,0.922,0.139,110.73,1.302,0.672,270.04,1.969,-1.822,44.36,2.342,-1.044,744.5507,122.31848,92.61907,403.5785,423.8258,311.7691,2.2306297,0.6545907,0.8627938
2.0,2.0,2.0,63.79,2.424,157.63,0.749,-0.456,131.19,0.618,-1.369,87.98,1.667,1.18,32.89,0.701,2.47,396.8999,128.17383,84.26385,200.17694,288.20587,110.058495,2.4643133,0.9223501,1.6116005
2.0,3.0,2.0,31.24,-2.844,122.46,-1.594,0.619,99.11,-0.944,1.618,134.0,-0.664,-2.345,31.41,-1.063,-2.523,411.66208,128.25478,28.495764,61.039967,210.10332,163.39903,2.8982933,1.1918478,0.43690386
2.0,0.0,2.0,47.84,-1.069,104.73,0.36,-2.846,75.04,0.882,2.048,67.5,1.117,-0.328,64.96,1.331,1.253,322.4971,122.75792,95.18747,91.31453,173.85052,131.70273,2.519654,1.4840213,1.5954176
2.0,2.0,2.0,29.62,1.3,144.36,0.11,1.616,90.91,-0.229,0.54,104.22,1.954,1.648,44.04,0.702,2.792,447.05737,123.719536,116.4672,310.72894,232.07362,125.213684,1.7484823,1.1281387,1.6959481
