num_photons,num_jets,num_btag,MET_pT,MET_phi,photon1_pT,photon1_eta,photon1_phi,photon2_pT,photon2_eta,photon2_phi,btag1_pt,btag1_eta,btag1_phi,btag2_pt,btag2_eta,btag2_phi,m_hh,m_phopho,m_bb,pT_hh,pT_phopho,pT_bb,dR_hh,dR_phopho,dR_bb
2.0,0.0,2.0,36.4,1.876,91.04,1.296,-2.11,49.88,-0.35,-1.855,99.06,0.558,0.698,30.13,0.118,2.218,318.61902,125.05215,79.07896,38.418404,100.468544,126.970406,3.0165775,1.6656352,1.5824032
2.0,3.0,2.0,80.23,2.822,180.34,0.83,-0.846,101.42,0.993,0.105,183.8,-1.731,1.107,101.93,-0.896,2.735,1009.3475,125.77318,231.19434,223.92525,280.89822,263.2885,3.1533072,0.96486783,1.8296471
2.0,1.0,2.0,72.05,-1.684,188.0,1.178,1.561,72.26,2.171,1.899,60.92,1.578,-1.523,52.11,1.381,-2.544,359.0342,126.768135,56.17118,177.2772,235.38281,112.48546,2.6391168,1.0489485,1.0398318
2.0,1.0,4.0,11.85,-2.472,383.66,-0.3,2.585,84.88,0.128,2.031,333.67,1.157,-0.788,103.11,0.938,-0.15,1121.0962,125.69301,123.25702,37.43934,462.22815,434.89456,3.3984768,0.7000716,0.6745406
2.0,0.0,2.0,30.95,2.266,129.39,0.699,-1.927,58.3,0.018,-0.568,114.34,-0.27,1.334,47.73,0.144,2.72,379.26114,124.703735,99.28819,25.359882,178.50017,159.19981,3.1053128,1.5200796,1.4465103
2.0,1.0,2.0,24.31,2.18,171.99,-1.275,-0.805,55.97,-0.123,-1.335,198.14,-1.108,2.766,96.49,-0.875,1.762,549.3844,129.97389,136.92693,71.23279,201.35161,292.8713,2.8999305,1.2680709,1.0306817
2.0,0.0,2.0,12.2,-0.047,295.59,1.087,0.174,57.8,0.523,-0.604,317.14,0.832,-2.864,45.84,0.679,2.53,726.32825,124.13876,105.344986,42.416,345.82123,362.51184,3.0259535,0.9609267,0.9022524
2.0,0.0,2.0,34.31,-2.359,321.03,-0.279,2.182,54.89,0.513,2.666,237.94,-0.541,-0.626,123.29,-0.934,-1.216,783.65796,125.26441,120.45079,33.124737,361.70215,354.9849,3.1194403,0.92818105,0.7089068
2.0,0.0,2.0,0.7,-0.456,145.69,-0.36,-2.996,37.58,0.746,-1.626,117.93,-0.274,0.011,91.43,-0.437,1.225,414.30972,127.17891,119.66538,28.781832,165.97017,208.67624,3.0017939,1.7607203,1.2248939
2.0,1.0,2.0,33.75,-2.486,91.78,-1.628,0.3,82.55,-1.811,1.875,85.24,0.188,-1.231,63.51,-0.911,-2.052,432.7573,124.382515,103.30678,69.19279,173.6028,127.35852,2.9764202,1.5855958,1.3718026
2.0,1.0,2.0,9.94,0.148,347.86,-0.707,-3.138,159.57,-0.233,2.98,413.35,0.894,-0.275,90.51,0.374,-0.051,1276.8232,119.23818,110.52452,94.00977,495.2228,493.94788,3.2507832,0.50195843,0.5661943
2.0,2.0,2.0,20.48,0.494,209.31,-1.85,3.078,34.4,-1.698,-1.487,233.71,-0.096,0.078,49.43,-0.855,0.287,714.2535,129.15886,86.50733,75.24202,243.36913,271.71054,3.51106,1.724896,0.7872496
2.0,2.0,2.0,31.57,2.385,172.64,-0.36,-1.702,45.75,0.637,-2.752,170.88,0.936,0.977,45.03,0.262,0.019,503.8886,128.29604,100.83638,88.625305,201.1775,207.97101,2.8492043,1.4479326,1.1713411
2.0,1.0,2.0,67.39,2.591,287.21,-0.375,-1.018,132.8,-0.432,-0.371,167.96,-0.81,2.602,126.38,-0.227,2.423,717.9448,124.663826,89.99858,128.05833,419.8625,282.17606,2.9455235,0.64950603,0.6098606
2.0,1.0,2.0,55.79,-1.702,455.37,0.373,1.365,159.6,0.764,1.619,516.22,0.76,-1.164,128.89,0.373,-1.833,1257.8927,126.162155,196.91237,256.29074,605.98517,637.43677,2.7312477,0.4662585,0.7728712
2.0,1.0,2.0,19.26,2.095,281.03,0.02,0.065,145.5,0.618,-0.081,285.15,-0.627,-3.021,87.0,0.06,-3.032,878.9107,126.22766,110.36053,67.224815,409.5559,356.7076,3.1156793,0.61556476,0.687088
2.0,0.0,2.0,62.31,-2.709,130.43,-0.976,0.182,92.48,0.034,0.608,117.88,-1.605,-2.787,39.39,-1.199,2.318,446.49374,124.67125,80.68133,92.837494,195.94725,154.8513,3.0244622,1.0961641,1.2461772
2.0,1.0,2.0,25.55,-3.109,267.55,-0.036,-0.238,60.2,0.788,0.169,125.06,-1.149,2.796,124.64,-0.58,-3.133,674.37805,119.16494,84.37598,77.926285,311.5912,239.6626,3.2892876,0.91903484,0.67023003
2.0,1.0,2.0,50.5,-1.293,289.67,-0.391,1.837,222.98,-0.877,1.969,267.7,-1.33,-1.291,59.78,-1.998,-1.656,922.7718,129.16072,97.56506,192.55421,497.8473,316.8025,3.1497893,0.503607,0.76121545
2.0,1.0,2.0,33.22,1.515,154.22,-0.752,-1.47,63.94,0.193,-2.239,94.77,0.236,2.348,81.38,0.309,1.217,434.27817,122.599594,94.33294,86.351036,198.55466,176.03336,2.8595548,1.2183539,1.1333532
2.0,0.0,2.0,52.47,-2.241,136.15,-0.496,0.948,91.94,0.142,-0.009,75.19,-1.555,-1.939,55.4,-1.029,3.11,416.24658,126.03967,82.211365,98.06616,217.0261,126.204506,3.2108388,1.1501709,1.3415997
2.0,2.0,2.0,7.2,1.115,135.23,2.143,-2.675,62.27,1.282,2.574,77.82,0.667,0.586,52.42,1.039,-1.015,382.4991,121.94057,94.74221,85.78279,182.04391,128.07974,3.1478853,1.3456823,1.6436499
2.0,2.0,2.0,65.22,2.864,203.18,1.735,-0.129,145.25,1.066,0.083,166.74,-0.896,-2.658,70.51,-0.462,3.063,999.15436,122.59622,76.60542,154.53006,329.66714,232.61047,3.5591004,0.701787,0.7102175
2.0,1.0,2.0,13.48,2.193,198.34,-0.688,-0.425,61.62,0.366,-0.225,119.04,0.72,-3.139,85.56,1.771,2.715,686.7506,123.971565,119.04785,74.654945,234.97491,177.78905,3.3412895,1.0728076,1.1352538
2.0,0.0,2.0,48.28,-1.69,238.85,2.269,1.14,118.75,1.878,1.804,218.24,0.169,-1.935,88.42,-0.421,-2.206,1106.6597,128.2354,91.22973,81.57629,351.56293,295.83063,3.6165159,0.7705693,0.649262
2.0,2.0,2.0,31.25,1.78,104.38,0.4,-0.914,90.36,0.623,-2.31,124.63,0.298,0.947,92.26,0.243,1.918,411.4577,126.70446,100.25196,58.645596,193.537,216.80983,2.9145987,1.4136992,0.9725564
2.0,1.0,2.0,82.27,-1.378,159.35,0.191,1.261,130.7,0.943,1.662,67.39,0.123,-0.942,57.44,0.485,-0.215,360.3586,125.09094,49.700672,252.65424,269.9924,122.80386,2.064447,0.85223526,0.812141
2.0,0.0,2.0,82.96,-0.667,158.41,0.466,2.643,44.24,0.591,0.948,62.02,0.073,-1.182,51.63,1.123,-0.451,328.24384,125.94499,74.18245,53.749485,202.38002,98.48184,3.0688517,1.6996028,1.2793989
2.0,2.0,2.0,89.29,0.349,233.35,2.083,2.361,91.06,1.203,2.47,204.71,0.713,0.793,36.26,1.812,0.445,555.23737,133.40544,103.89713,387.1146,299.7025,223.53545,1.8938142,0.8867249,1.1527814
2.0,1.0,2.0,23.18,0.556,119.78,-0.263,-1.956,74.8,-0.572,-0.505,119.64,0.354,2.034,31.81,-0.403,0.402,368.93866,128.99564,101.8042,27.962076,192.38684,144.42436,3.132331,1.483537,1.7990202
2.0,0.0,2.0,25.65,-2.846,109.24,0.461,1.809,96.33,0.486,0.386,95.46,0.642,-1.154,31.92,0.426,-2.829,323.08975,133.99075,82.89011,84.85378,205.55402,126.822914,2.6399086,1.4232197,1.6888696
2.0,2.0,2.0,41.88,2.96,157.5,0.038,1.855,36.82,0.362,-2.575,68.87,-0.955,-2.8,48.71,-1.561,-1.464,356.59445,124.27505,80.11582,147.6317,192.76099,112.38482,2.3278823,1.8812948,1.4670147
2.0,2.0,2.0,31.99,2.688,364.28,-1.529,-0.785,102.68,-0.89,-0.725,154.95,0.96,-3.123,39.45,1.189,2.255,1095.1533,126.23147,70.694756,335.65152,450.87842,193.57738,3.4756844,0.6418108,0.93370277
2.0,1.0,2.0,27.3,1.033,97.77,0.466,-2.533,69.26,-0.194,2.223,115.9,1.01,0.474,65.37,1.8,-0.803,427.9754,126.534546,125.47595,26.747812,158.28728,168.43767,3.3010755,1.6636995,1.5016085
2.0,3.0,2.0,12.12,-1.075,233.71,-0.222,0.186,69.8,-0.476,1.192,85.66,0.843,-1.595,54.18,-0.248,-0.561,388.89133,127.36254,103.1004,299.3617,301.7806,120.65538,1.7476916,1.0375702,1.5031424
2.0,0.0,2.0,177.77,-1.248,356.16,-2.334,2.064,99.24,-1.794,1.675,199.89,-0.42,-1.307,45.17,-0.974,-0.696,944.2624,125.86095,78.16597,211.6031,444.219,239.4857,3.5346491,0.6655231,0.8247649
2.0,0.0,2.0,22.91,-1.439,174.47,0.107,1.587,58.14,-1.068,1.351,145.29,-0.315,-2.082,49.61,-0.126,-0.731,453.71988,127.49212,107.38179,75.375305,204.06297,194.24033,2.9742517,1.1984661,1.3641561
2.0,2.0,2.0,70.04,-0.642,191.02,-0.492,1.815,166.72,-0.715,1.116,277.03,-0.37,-0.36,213.76,-0.649,0.113,645.416,128.55876,132.82751,563.1835,355.52884,486.10193,1.6481165,0.7337099,0.5491539
2.0,0.0,2.0,41.12,2.324,137.57,-0.814,-1.58,127.8,-1.638,-1.937,210.73,-0.193,1.046,59.25,-0.888,1.546,620.0363,121.84142,96.61562,61.94069,243.1958,259.03116,3.0304065,0.89801174,0.85616875
2.0,3.0,2.0,335.57,2.424,604.31,1.016,-0.893,32.49,1.217,-1.791,237.99,-0.226,2.413,40.01,0.224,2.806,997.011,124.87226,58.419067,365.95667,636.179,274.56897,3.115516,0.9202201,0.59745204
