num_photons,num_jets,num_btag,MET_pT,MET_phi,photon1_pT,photon1_eta,photon1_phi,photon2_pT,photon2_eta,photon2_phi,btag1_pt,btag1_eta,btag1_phi,btag2_pt,btag2_eta,btag2_phi,m_hh,m_phopho,m_bb,pT_hh,pT_phopho,pT_bb,dR_hh,dR_phopho,dR_bb
2.0,0.0,2.0,6.31,-2.636,124.23,-0.569,-2.275,88.29,-1.027,-1.118,104.78,0.38,1.525,76.91,-0.753,0.616,450.51535,124.327644,133.0883,35.87665,207.13268,154.03514,3.023002,1.2443525,1.4525737
2.0,0.0,2.0,31.43,0.769,242.86,0.601,-2.437,127.86,0.864,-1.753,135.31,0.857,0.934,59.74,1.643,0.561,570.55347,127.00591,79.79986,162.02585,367.82855,182.48962,3.053409,0.7328199,0.8700143
2.0,1.0,2.0,31.27,-1.39,183.94,1.145,1.31,127.77,1.729,1.903,314.27,0.255,-1.648,74.23,0.817,-2.031,812.3386,127.55792,104.615685,96.241585,298.9529,379.15176,3.1796541,0.8322891,0.6800977
2.0,0.0,2.0,9.24,0.86,139.83,-0.535,-1.863,91.38,0.477,-1.485,112.44,-1.419,1.351,107.82,-0.446,1.61,549.47656,126.672554,114.98147,14.273512,203.59593,194.71623,3.1969411,1.0802908,1.0068814
2.0,2.0,2.0,76.32,-1.453,186.36,-1.018,0.828,75.37,-1.837,0.155,121.81,-2.143,-0.84,98.54,-1.457,-1.029,417.54446,126.82791,79.37979,333.6618,244.12315,207.66212,1.6651157,1.0600425,0.7115595
2.0,0.0,2.0,20.69,-1.541,155.09,-1.734,2.899,150.48,-2.066,2.152,139.28,-1.399,-0.374,97.29,-1.078,-1.286,571.0585,122.57439,109.174324,78.45861,301.37045,233.62587,3.0740213,0.8174552,0.9668428
2.0,2.0,2.0,14.11,0.072,150.12,-0.743,-1.51,129.91,-0.546,-0.589,126.0,-0.374,0.615,78.12,-0.896,1.448,429.70435,127.14171,95.85231,240.58171,278.67972,197.59361,2.0148418,0.9418333,0.98304266
2.0,1.0,2.0,82.31,-2.629,130.81,-2.203,1.401,70.16,-1.291,0.437,77.9,-1.696,-1.615,61.68,-0.922,-2.496,378.83356,126.75093,80.742676,54.72739,182.40105,129.40231,3.1207814,1.3270419,1.1727048
2.0,0.0,2.0,11.57,-1.968,91.85,-0.629,-1.109,81.02,-0.229,-2.63,76.28,-1.904,2.135,70.76,-1.9,0.475,412.02155,123.891785,108.429344,26.197159,169.43776,147.0397,3.4515233,1.5727179,1.6600049
2.0,0.0,2.0,24.25,-1.764,154.25,0.636,1.029,46.79,0.344,-0.675,69.06,0.908,2.654,43.5,0.212,-2.041,305.00317,130.27492,87.33633,102.76727,199.51456,106.17118,2.4965432,1.7288375,1.7339981
2.0,2.0,2.0,24.67,3.136,245.77,-1.296,2.157,31.8,-0.702,0.769,79.36,-1.473,-0.784,34.75,-2.162,-1.302,385.0909,125.016785,45.665726,145.35706,272.70435,108.45692,3.008787,1.5097613,0.8620006
2.0,3.0,2.0,30.24,2.755,218.16,-0.406,-0.502,71.02,0.268,-1.256,199.42,-1.195,2.389,54.83,-2.059,2.182,669.2482,125.331116,95.654335,37.241177,277.2167,238.6965,3.2378955,1.0113317,0.88845086
2.0,1.0,2.0,15.53,-0.64,211.68,0.859,1.229,186.44,0.347,0.958,199.67,0.889,-2.217,155.49,0.694,-1.654,769.036,115.99294,103.76861,58.653965,385.19852,353.4994,3.0791447,0.579297,0.5958137
2.0,0.0,2.0,19.76,3.062,176.93,-0.185,1.423,67.93,0.05,0.255,101.18,0.795,-1.954,32.66,0.33,-2.338,403.22015,123.62002,34.767914,81.0651,243.50714,131.19223,3.2123537,1.1914062,0.6030597
2.0,2.0,2.0,113.35,-1.068,255.92,-0.241,1.795,182.59,0.248,1.534,187.04,0.001,-1.3,149.16,-0.582,-1.211,797.0357,120.67869,99.87498,123.772484,425.83823,322.201,2.955306,0.5542941,0.5897542
2.0,1.0,2.0,9.07,2.357,192.03,0.481,-2.003,111.36,0.246,-1.127,90.87,-0.439,-2.347,82.3,-0.883,2.827,410.53677,128.73781,98.96506,359.5319,301.44644,168.93079,1.5776125,0.9069737,1.1947503
