num_photons,num_jets,num_btag,MET_pT,MET_phi,photon1_pT,photon1_eta,photon1_phi,photon2_pT,photon2_eta,photon2_phi,btag1_pt,btag1_eta,btag1_phi,btag2_pt,btag2_eta,btag2_phi,m_hh,m_phopho,m_bb,pT_hh,pT_phopho,pT_bb,dR_hh,dR_phopho,dR_bb
2.0,0.0,2.0,59.22,-1.499,142.78,1.022,1.585,54.5,-0.214,0.899,90.73,-0.31,-2.058,61.49,-1.095,-1.079,471.31085,130.38776,92.474815,54.28011,168.73064,141.08853,3.3292527,1.4136095,1.2548571
2.0,1.0,2.0,39.01,-1.876,270.9,0.114,1.409,89.59,-0.525,0.946,109.34,-0.394,-1.728,100.37,0.45,-1.776,585.39087,123.94428,91.20306,145.99252,346.9521,191.34776,3.0470674,0.78910714,0.8453638
2.0,1.0,2.0,53.1,-1.452,204.79,-1.694,1.643,37.63,-2.318,0.213,179.84,0.737,-1.165,32.3,1.546,-2.013,947.2773,127.86282,89.1429,81.14811,236.35341,203.48093,3.8293114,1.5602168,1.1720005
2.0,1.0,3.0,34.07,-0.974,286.31,-0.669,0.226,45.68,-1.597,-0.364,184.39,0.185,-2.718,102.27,-0.132,3.005,699.94507,128.5189,87.60941,54.139454,315.81592,283.36337,3.187396,1.0996745,0.6436589
2.0,2.0,3.0,51.63,-0.203,293.53,0.23,-3.037,206.24,0.722,-2.947,54.61,0.902,2.087,45.25,0.125,0.751,386.23648,124.26582,73.21807,488.21295,485.18997,92.48625,1.7941483,0.500164,1.5455174
2.0,0.0,2.0,2.3,-2.816,255.62,-1.301,1.075,156.96,-1.364,1.706,308.56,-0.796,-1.514,99.96,-1.069,-2.052,842.9852,124.94512,105.010956,73.529205,412.38702,405.7143,2.9916205,0.634137,0.60330164
2.0,2.0,2.0,16.66,1.007,104.58,-0.587,1.539,91.53,-0.192,0.204,81.78,-0.543,-2.827,44.17,-1.795,-2.145,359.5556,127.22019,89.76387,61.313652,192.3147,104.418724,2.8318238,1.3922107,1.4257026
2.0,3.0,2.0,214.48,-2.976,204.35,-0.18,-0.027,155.98,-0.754,0.369,210.01,0.046,-2.967,136.27,-0.373,-2.689,735.6566,125.4068,85.41464,49.702908,345.86273,339.05557,3.0178196,0.6973463,0.502837
2.0,2.0,2.0,16.59,-0.026,103.3,0.046,0.27,37.94,1.785,-0.175,68.91,0.659,-0.886,37.91,-0.539,-1.787,257.1997,126.17559,78.74524,185.83858,103.91388,89.93734,1.3965845,1.7950337,1.4990011
2.0,2.0,3.0,14.88,-0.981,163.33,1.092,2.654,83.96,2.01,2.23,191.38,1.509,0.839,71.15,0.979,0.006,459.67667,121.736336,113.26918,285.71692,224.4661,255.31506,1.889222,1.0111874,0.987314
