num_photons,num_jets,num_btag,MET_pT,MET_phi,photon1_pT,photon1_eta,photon1_phi,photon2_pT,photon2_eta,photon2_phi,btag1_pt,btag1_eta,btag1_phi,btag2_pt,btag2_eta,btag2_phi,m_hh,m_phopho,m_bb,pT_hh,pT_phopho,pT_bb,dR_hh,dR_phopho,dR_bb
2.0,0.0,2.0,47.44,1.076,136.4,1.281,-1.758,73.79,1.212,-3.098,73.53,1.436,1.063,48.23,0.448,0.134,341.83685,124.79212,81.23689,68.33097,210.07602,107.87186,2.9067845,1.3417753,1.3561656
2.0,0.0,3.0,46.61,-2.892,230.42,-0.605,0.969,79.26,-1.105,0.154,237.49,-0.797,-1.341,69.47,-1.264,-1.992,579.83075,127.02644,102.04203,252.0647,302.37436,301.14984,2.2593455,0.9561512,0.8011804
2.0,2.0,2.0,19.05,-2.724,289.9,1.133,-0.014,92.79,0.441,-0.271,311.75,0.711,2.127,38.88,0.323,2.396,689.8673,123.16906,52.149055,321.57095,366.16412,348.05093,2.2517567,0.73818225,0.47212806
2.0,1.0,2.0,34.36,-1.03,140.22,-0.93,2.297,79.73,-2.074,2.336,72.2,-0.746,-0.315,71.75,-1.607,-1.649,398.72668,127.73137,109.606895,109.3646,187.81476,130.81572,2.9981408,1.1446644,1.5877268
2.0,2.0,2.0,20.55,3.12,251.05,1.178,0.311,92.5,1.765,0.862,261.1,-0.602,-2.834,76.06,-0.931,-2.128,1079.8135,122.91346,107.9965,10.71625,332.04233,333.98593,3.7290874,0.80508995,0.7788948
2.0,1.0,2.0,24.81,-0.927,149.55,1.029,2.582,83.29,1.952,1.962,144.11,1.99,-1.031,64.07,1.083,-1.379,483.43652,126.583565,96.11323,78.25099,210.55905,190.39415,2.8027503,1.1119033,0.9714695
2.0,2.0,2.0,51.05,-1.854,335.64,-0.945,1.985,244.04,-1.011,1.542,297.38,-0.57,-0.638,145.46,-0.452,-1.168,1006.30396,127.163025,111.67848,293.0827,579.37225,442.16022,2.6463375,0.4478896,0.542977
2.0,0.0,2.0,30.34,1.869,382.28,-0.813,-2.186,43.94,-1.659,-1.714,332.73,-0.732,0.944,48.49,-0.662,0.512,823.30524,128.17857,55.16843,63.32703,412.7245,381.11633,3.0344095,0.96876216,0.43763447
2.0,1.0,2.0,20.91,0.466,175.54,-0.753,-2.938,80.33,-0.072,2.566,65.09,-1.089,-0.291,31.12,-0.426,1.287,333.31403,122.20054,70.73806,169.35255,243.26685,91.64122,2.9699275,1.0348389,1.7116228
2.0,3.0,2.0,59.4,0.313,159.14,0.417,-0.747,66.94,-0.398,-1.637,148.35,0.096,1.082,45.92,0.05,-0.414,369.65634,123.98364,112.34221,232.56923,210.75908,194.23291,1.7908332,1.2067829,1.4967071
2.0,1.0,2.0,40.52,-0.748,103.43,0.697,2.329,38.62,-0.771,0.981,87.7,-0.524,-0.568,87.62,-1.171,-1.54,413.32605,128.42592,100.18274,38.575108,114.05726,166.22592,3.2513738,1.9930197,1.1676441
2.0,3.0,2.0,154.43,-0.262,268.61,-1.069,-2.99,241.6,-1.245,2.828,207.96,-0.529,-0.706,78.09,-0.437,-0.085,789.05334,125.72734,78.74969,280.7242,508.24127,285.8098,2.747513,0.49736676,0.6277779
2.0,1.0,2.0,16.31,1.046,124.49,1.198,-2.811,42.64,2.338,2.202,136.4,0.169,-0.821,117.04,0.503,-1.88,469.85815,123.092545,134.49626,233.53873,147.47652,249.93484,2.1508849,1.7067431,1.1104223
2.0,1.0,2.0,28.22,2.789,251.62,-1.917,1.111,109.85,-1.231,1.33,108.19,-1.366,-2.736,64.53,-0.703,-2.237,531.787,121.844345,69.89673,238.7528,343.73718,163.93329,2.6218982,0.72010916,0.82980126
2.0,0.0,2.0,16.45,-0.782,278.52,-0.812,-0.91,159.08,-0.812,-0.32,357.86,-0.658,2.446,76.64,-0.357,2.987,878.75226,122.39692,101.6709,40.519806,437.59998,431.65274,3.053579,0.5899999,0.61909765
2.0,0.0,2.0,39.91,-1.886,263.83,-1.67,0.768,50.3,-0.667,1.005,148.51,-0.234,-2.663,62.77,-0.51,-1.82,631.8302,123.48984,83.403496,118.898926,293.95514,209.6035,3.2752147,1.0306202,0.88703173
2.0,0.0,2.0,43.91,-2.426,98.51,0.634,0.081,77.42,1.348,1.472,72.79,2.179,-1.723,62.45,0.817,-1.8,358.4028,128.76955,99.22888,93.68235,165.0022,105.27531,2.5065856,1.5635463,1.3641748
2.0,1.0,2.0,57.67,-1.58,382.9,-0.005,1.597,81.16,0.679,1.537,201.45,0.229,-1.624,180.6,0.529,-1.985,862.98303,123.39684,89.38151,133.07452,448.74338,377.77283,2.9129965,0.68662655,0.46938366
2.0,1.0,2.0,12.41,-1.708,212.5,0.602,2.33,71.16,0.273,1.363,84.81,-0.116,-0.367,77.0,-0.263,-1.345,458.54483,121.34028,76.84596,123.42015,280.7863,161.37415,3.016232,1.021435,0.9889858
