num_photons,num_jets,num_btag,MET_pT,MET_phi,photon1_pT,photon1_eta,photon1_phi,photon2_pT,photon2_eta,photon2_phi,btag1_pt,btag1_eta,btag1_phi,btag2_pt,btag2_eta,btag2_phi,m_hh,m_phopho,m_bb,pT_hh,pT_phopho,pT_bb,dR_hh,dR_phopho,dR_bb
2.0,2.0,2.0,50.68,-2.493,376.89,0.972,-2.03,36.86,1.986,-1.923,218.0,0.777,-2.472,56.64,0.272,3.055,330.31253,125.33705,99.73385,646.9986,397.6027,268.96942,0.72312385,1.0196297,0.9093083
2.0,3.0,2.0,34.61,-0.818,287.18,-0.189,2.717,185.32,-0.699,2.871,431.37,0.547,-0.652,105.0,0.931,-0.366,1157.0681,124.116455,102.181206,131.48479,457.9423,530.18445,3.080806,0.5327438,0.47880268
2.0,2.0,2.0,91.99,-1.274,135.41,-0.466,1.66,121.59,-0.481,2.701,121.6,-0.275,-1.441,113.61,-0.875,-0.976,500.81256,127.6393,89.766914,50.98523,256.9928,224.7171,2.918408,1.0411081,0.75909483
2.0,1.0,2.0,78.28,-2.066,114.35,-2.084,1.072,69.8,-2.186,2.549,98.25,-1.705,-1.482,49.36,-1.981,-2.501,335.66446,120.628654,70.61515,36.123253,183.92459,146.36128,2.899223,1.4805179,1.0557162
2.0,1.0,2.0,15.47,1.235,162.3,0.667,-0.512,32.48,2.216,-0.692,120.71,1.889,2.341,104.83,2.257,-3.128,528.6292,124.735825,98.326744,26.947634,166.21077,221.75185,3.211345,1.5594234,0.8934885
2.0,0.0,2.0,11.5,1.982,104.47,-0.068,-1.092,86.16,0.701,-2.179,89.52,0.043,2.096,53.68,-0.064,0.708,347.66565,123.36572,88.98804,51.332897,176.84479,143.00795,3.1108177,1.3315144,1.392118
2.0,0.0,2.0,48.85,-0.517,149.94,0.986,2.211,71.47,-0.073,2.748,107.16,0.366,-0.435,62.34,0.228,-1.583,418.24142,127.28199,89.47665,71.50025,195.1573,169.12491,3.0773916,1.187371,1.1562647
2.0,2.0,2.0,17.1,-0.889,187.59,0.396,0.127,142.6,0.557,0.874,146.45,-0.141,-2.059,82.95,0.361,-1.401,529.5013,122.23131,90.547165,236.16582,329.1406,222.77063,2.3105614,0.7641531,0.82762796
2.0,1.0,2.0,63.6,-2.723,219.39,-0.622,0.299,205.47,-0.134,0.58,275.31,-1.641,-2.543,82.48,-1.043,-2.888,931.4645,120.3572,105.077484,74.25348,412.28912,346.60132,3.2533944,0.5631207,0.69038326
2.0,0.0,2.0,16.67,-0.316,95.87,0.395,-2.859,75.88,-0.762,2.574,56.54,-1.001,0.652,35.43,-0.911,-0.818,302.90045,125.79012,60.162384,89.75327,144.21825,91.88181,3.0491698,1.4357804,1.4727526
2.0,1.0,2.0,26.9,-1.637,360.41,0.762,2.762,125.78,1.276,3.031,356.77,0.114,-0.125,70.94,-0.167,-0.682,1006.41565,124.51187,98.29993,77.21579,473.98892,425.38278,3.157038,0.5801352,0.6238669
2.0,1.0,2.0,14.58,1.765,106.51,-0.134,2.05,38.28,-1.748,1.184,148.76,-0.209,-1.276,56.15,-0.432,0.082,391.03217,126.52231,116.596306,64.981316,111.61339,203.89812,2.7995472,1.8316529,1.3761879
2.0,1.0,2.0,14.73,0.166,397.98,-1.317,2.637,96.53,-0.666,2.688,407.95,-0.357,-0.753,34.18,-0.92,-1.011,1023.10583,130.24689,73.896736,140.01778,478.3575,437.23532,2.9686573,0.6529947,0.6193005
