num_photons,num_jets,num_btag,MET_pT,MET_phi,photon1_pT,photon1_eta,photon1_phi,photon2_pT,photon2_eta,photon2_phi,btag1_pt,btag1_eta,btag1_phi,btag2_pt,btag2_eta,btag2_phi,m_hh,m_phopho,m_bb,pT_hh,pT_phopho,pT_bb,dR_hh,dR_phopho,dR_bb
2.0,3.0,2.0,86.85,-1.134,146.54,0.021,0.864,97.13,0.098,-0.235,142.63,0.029,-0.892,83.15,-0.155,-1.615,367.22647,124.95388,79.60319,294.92468,243.49684,224.89159,1.5948368,1.1016943,0.7460463
2.0,2.0,2.0,24.01,-1.06,169.91,-0.124,2.199,140.77,-0.745,1.74,145.15,-0.71,-1.463,132.5,-0.186,-0.837,611.8608,120.31364,112.67862,38.6378,295.95752,268.1949,3.1274889,0.7722188,0.81636524
2.0,0.0,2.0,10.02,2.232,113.64,-0.043,-2.014,102.9,0.725,-1.12,126.57,0.299,1.19,45.71,0.73,2.442,405.55078,126.4226,95.05711,49.029076,200.81047,169.181,3.0809853,1.1785837,1.324109
2.0,1.0,2.0,123.53,-2.379,209.62,-2.103,1.508,177.93,-1.648,1.033,282.04,-1.87,-2.536,58.17,-1.859,3.009,682.88324,126.940704,92.43045,279.3978,377.63174,340.2071,2.3371902,0.6577614,0.73826736
2.0,2.0,2.0,65.43,-0.032,178.55,-0.151,-2.254,82.19,0.754,-1.887,115.82,1.384,0.117,49.47,1.22,1.515,503.72086,121.72409,98.20085,155.03683,238.25282,164.82422,2.8868363,0.9765827,1.4075866
2.0,0.0,2.0,35.9,-1.224,145.92,2.183,2.205,53.08,0.913,1.648,57.55,-0.506,-1.168,30.81,-0.032,-1.545,483.82568,128.86493,25.591637,109.71369,169.41011,86.119194,3.6337557,1.3867766,0.60564435
2.0,0.0,3.0,93.28,0.277,268.9,0.53,-3.109,182.64,0.86,2.698,156.93,-0.6,-0.622,138.83,-0.352,-0.957,837.46246,127.76695,61.392685,263.59335,445.63263,293.49765,2.770346,0.57935524,0.41680816
2.0,1.0,2.0,60.76,1.098,222.8,-0.406,0.184,90.39,0.458,0.082,266.34,0.241,-2.639,30.52,0.369,2.362,642.72736,127.28605,108.459984,79.750916,289.76993,296.63593,2.9272914,0.86999995,1.2885591
2.0,1.0,2.0,32.19,1.711,94.76,0.175,-1.014,87.13,-0.941,-1.725,176.18,-0.969,1.531,76.31,-1.48,1.48,494.8609,124.082634,60.188118,99.35727,154.35304,245.59386,2.9693532,1.3232448,0.5135387
2.0,1.0,2.0,50.51,-0.22,152.95,0.763,2.179,84.47,1.267,-3.068,94.13,0.059,-1.582,38.95,-0.514,-0.433,409.9412,126.59351,74.61756,137.6198,230.55441,128.60439,2.6944618,1.1522571,1.283951
2.0,0.0,2.0,25.19,-2.833,86.7,-0.337,0.668,61.62,-1.835,0.117,75.82,0.822,-2.503,56.37,-0.623,-2.361,419.40912,126.43683,103.32098,37.109898,109.9593,99.993576,3.1107507,1.5961218,1.4519604
2.0,3.0,2.0,18.66,0.742,124.31,0.204,-2.966,73.05,0.091,-1.541,139.95,-0.235,1.29,90.73,-0.043,0.345,429.11914,125.056915,104.831856,70.53035,197.06635,229.6663,2.9007196,1.4294734,0.9643074
2.0,1.0,2.0,9.8,0.253,144.93,-0.335,-2.039,102.47,0.358,-1.327,148.44,0.477,1.426,35.17,1.048,1.079,469.82172,120.98803,48.695206,50.952614,233.14265,179.04256,3.1711714,0.993576,0.6681691
2.0,1.0,2.0,6.14,1.659,109.84,1.577,2.569,58.13,0.187,2.69,68.86,0.516,-1.523,46.95,0.876,0.205,315.31754,120.617294,88.891975,98.757126,133.1921,114.00644,2.8247776,1.3952566,1.7651018
2.0,2.0,2.0,51.59,2.417,152.39,0.449,-1.245,81.13,1.189,-2.072,105.19,-0.769,0.022,47.19,-0.442,1.483,452.7169,122.75771,96.82724,204.4678,219.23674,150.64394,2.3870625,1.1097428,1.4971474
2.0,3.0,2.0,19.05,1.341,84.12,-1.122,2.851,77.22,-1.692,-1.823,115.08,-1.845,-0.723,51.85,-1.906,0.555,328.05603,125.13327,92.25804,104.06261,154.84396,166.8635,2.3606896,1.7071549,1.279455
2.0,1.0,2.0,23.28,1.2,95.47,-0.693,-0.973,58.06,0.634,-0.03,99.89,-0.243,2.756,90.49,0.542,3.128,387.66724,125.9143,84.252975,82.65232,123.13209,175.93942,2.7421675,1.6279368,0.86868227
2.0,0.0,2.0,16.58,-1.374,127.32,1.311,2.33,91.55,0.649,1.333,122.57,2.353,-1.522,62.84,1.935,-0.207,491.84308,126.3145,113.456924,46.01179,207.31544,181.79816,3.2496324,1.1967677,1.3798366
2.0,0.0,2.0,81.17,0.355,325.36,0.975,-2.979,103.24,1.654,-2.843,228.62,0.632,0.253,100.46,0.177,-0.203,817.0612,129.27095,97.626305,110.101845,410.84964,321.9011,3.1299663,0.69248617,0.64417475
2.0,2.0,2.0,597.87,-2.503,593.68,0.98,0.305,79.36,1.255,-0.199,428.28,0.722,1.676,62.65,0.284,1.115,778.41986,123.7019,115.99863,899.1297,670.40454,485.74326,1.403357,0.57414365,0.7117339
2.0,1.0,2.0,48.4,-0.897,174.75,-1.756,3.127,83.46,-1.077,2.333,118.78,1.33,-1.468,64.1,1.667,-0.386,1034.1218,125.332054,94.605385,179.31133,245.36238,180.52301,3.7660902,1.0447379,1.1332666
2.0,0.0,2.0,5.96,1.225,155.53,0.669,-2.313,99.68,1.144,3.025,112.63,-0.465,0.119,66.92,0.526,0.778,510.47714,128.1151,105.75736,61.75532,248.39384,159.44392,3.178693,1.0578278,1.1901101
2.0,0.0,2.0,23.4,0.873,141.22,-1.276,-0.917,124.37,-0.664,-1.643,140.87,-1.126,2.284,86.69,-1.879,1.52,531.11926,125.076004,118.51503,44.3755,253.30319,212.55655,3.0599751,0.9495368,1.0727091
2.0,3.0,2.0,18.75,0.379,123.69,-0.09,-0.179,102.38,0.496,0.851,302.37,0.139,2.811,210.78,0.232,-3.055,670.34406,129.47006,107.163826,335.1237,216.52277,512.613,2.6991277,1.18503,0.4274253
2.0,2.0,2.0,56.9,2.855,131.03,1.235,-0.769,99.28,2.114,-1.408,44.95,1.289,1.763,39.93,0.701,3.039,317.95676,125.89077,56.439194,153.89319,208.85973,81.25103,2.945995,1.0867208,1.4049627
2.0,0.0,2.0,23.71,-0.102,110.07,-1.892,-2.589,60.99,-1.233,2.196,99.74,-2.093,-0.619,34.45,-1.448,1.199,318.32864,124.39752,100.166725,49.31887,162.63492,128.9432,2.82194,1.6367164,1.929028
2.0,0.0,2.0,10.27,1.172,99.54,0.182,0.975,81.0,0.533,-0.476,81.35,-1.133,-2.644,41.51,0.376,-3.022,376.02798,123.296,98.694405,15.228952,177.79626,93.58413,3.2468224,1.4928503,1.5556238
2.0,0.0,2.0,18.49,-1.335,114.95,-0.09,2.748,53.7,-0.086,0.933,80.66,0.332,-1.293,32.84,0.658,0.585,290.15335,123.8172,84.75714,37.174744,168.6497,112.264084,3.1734233,1.8150042,1.906085
2.0,0.0,3.0,38.26,-0.26,151.23,1.983,2.401,48.79,1.635,-2.388,177.2,1.352,-0.747,63.69,2.181,-0.262,458.19946,120.541306,103.9889,81.37791,197.7964,225.17998,2.9745078,1.5341756,0.9604509
