num_photons,num_jets,num_btag,MET_pT,MET_phi,photon1_pT,photon1_eta,photon1_phi,photon2_pT,photon2_eta,photon2_phi,btag1_pt,btag1_eta,btag1_phi,btag2_pt,btag2_eta,btag2_phi,m_hh,m_phopho,m_bb,pT_hh,pT_phopho,pT_bb,dR_hh,dR_phopho,dR_bb
2.0,1.0,2.0,31.81,0.888,88.85,0.418,-1.63,86.32,1.725,-2.131,108.11,1.168,-0.145,75.83,0.901,-1.168,301.874,130.23497,91.89522,261.59564,139.08661,182.35394,1.3185076,1.3997322,1.0572691
2.0,1.0,2.0,41.8,-0.961,223.15,-0.021,-1.406,144.8,-0.32,-2.059,209.95,-1.719,2.488,66.44,-1.801,-2.698,785.096,127.30206,123.562035,358.46664,364.03287,276.22037,2.4787626,0.71819925,1.1002452
2.0,0.0,2.0,24.15,-0.973,114.75,-0.158,2.616,93.47,0.388,1.523,78.75,0.691,-0.923,57.1,1.573,-1.02,405.69928,121.92311,61.425053,43.145008,200.59091,123.19966,3.2462068,1.2217873,0.88731784
2.0,2.0,2.0,22.54,2.669,299.18,1.167,1.194,132.42,0.669,0.835,453.71,0.384,-1.359,84.2,0.108,-1.712,988.68805,122.80612,87.40571,320.1133,420.30304,535.2154,2.586908,0.6139096,0.44809034
2.0,0.0,2.0,13.53,-2.998,99.37,-0.099,0.704,50.26,1.094,-0.669,62.93,0.08,2.909,30.69,0.54,-1.547,264.22986,126.56254,72.512726,57.240635,126.82673,91.45049,3.123836,1.8188946,1.8841996
2.0,1.0,2.0,96.87,0.391,139.01,-0.78,2.911,70.91,-0.394,1.656,125.22,-1.12,0.542,62.27,-0.769,-0.566,386.9698,122.79509,97.99532,134.89609,206.43611,184.93694,2.348624,1.3130198,1.1622672
2.0,0.0,2.0,54.9,-2.853,264.91,-1.106,0.059,181.82,-1.155,0.612,273.5,-1.292,-2.849,81.15,-0.957,-2.585,801.5852,120.30664,63.65583,82.508705,446.60056,351.15387,3.0729399,0.5551666,0.42652196
2.0,1.0,2.0,47.54,-2.414,129.51,1.69,1.054,87.92,0.66,0.577,87.94,0.814,-3.048,48.7,-0.18,-2.186,414.68942,125.413025,87.07188,114.70121,190.33327,121.5573,2.7947237,1.1350899,1.3157052
2.0,1.0,2.0,12.53,2.101,102.06,-1.085,-1.816,53.5,-0.883,0.087,98.84,-1.172,2.635,57.12,-1.436,1.172,313.93365,121.26591,102.33491,36.263824,154.84468,154.70073,2.8779566,1.9136909,1.4866288
2.0,0.0,2.0,7.95,-2.074,158.79,-0.788,-1.616,88.53,-0.213,-2.527,228.84,-0.373,1.134,35.3,-0.671,0.072,521.48444,125.13664,94.91432,52.511986,238.00421,262.78864,2.9473078,1.0772865,1.1030177
2.0,1.0,2.0,15.58,1.136,135.52,-1.223,-2.346,74.93,-1.001,2.647,117.69,-1.229,0.179,88.76,-0.549,1.067,430.62454,123.23595,112.82434,37.515457,209.26253,194.87067,2.956392,1.3091455,1.118456
2.0,1.0,2.0,79.35,2.503,313.76,-1.236,-0.358,234.79,-1.002,-0.735,392.41,0.228,2.481,141.9,0.359,2.951,1364.1447,119.99616,114.160164,18.855165,544.87775,533.4163,3.4221058,0.4437173,0.48791498
2.0,1.0,2.0,30.71,2.42,181.53,0.592,-0.501,81.9,0.672,0.567,84.84,0.957,-2.696,82.73,0.087,3.095,435.79163,124.50451,85.571205,102.65824,263.24942,151.96681,2.7533796,1.0709921,0.999573
2.0,1.0,2.0,14.24,0.254,137.45,-0.903,-1.285,71.26,0.034,-2.193,159.8,-0.967,2.014,53.39,-0.109,2.558,444.61227,129.54877,95.59719,116.96303,188.60402,198.85976,2.5556312,1.3047733,1.0159234
2.0,0.0,2.0,27.63,2.714,96.04,1.294,-0.786,69.12,-0.11,-0.878,79.44,0.008,2.516,51.13,-1.003,1.973,403.58368,124.24771,75.40543,39.014244,127.30077,115.05955,3.3127174,1.407011,1.1475931
2.0,0.0,2.0,36.87,1.262,107.8,-1.098,-0.789,58.15,-1.66,-2.481,79.11,-1.223,1.487,63.96,-1.359,2.859,314.01193,126.8287,90.63629,29.22457,160.03462,142.74306,2.8874857,1.7828928,1.378724
2.0,3.0,2.0,18.63,-1.879,253.27,1.148,-2.968,68.51,2.052,-3.072,180.93,1.025,-1.194,119.88,0.854,-0.406,587.0608,123.93475,115.85048,299.42273,300.5032,299.7565,2.1426773,0.9099627,0.8063404
