num_photons,num_jets,num_btag,MET_pT,MET_phi,photon1_pT,photon1_eta,photon1_phi,photon2_pT,photon2_eta,photon2_phi,btag1_pt,btag1_eta,btag1_phi,btag2_pt,btag2_eta,btag2_phi,m_hh,m_phopho,m_bb,pT_hh,pT_phopho,pT_bb,dR_hh,dR_phopho,dR_bb
2.0,0.0,2.0,24.3,3.062,103.16,-1.983,-0.679,61.36,-0.549,-0.816,120.04,-2.281,2.212,30.03,-0.979,2.3,391.7058,124.59668,83.978096,31.838955,127.01753,131.24811,3.0129757,1.4405295,1.3049704
2.0,1.0,2.0,32.6,-1.572,76.79,0.098,1.785,72.74,-0.277,-2.669,59.86,1.421,-0.697,59.23,1.265,0.821,339.6385,121.740326,82.481926,47.129654,146.91116,118.72792,2.9728236,1.8672293,1.5259948
2.0,0.0,2.0,15.97,0.026,87.38,-1.705,2.84,46.13,0.087,2.782,91.82,-0.024,0.16,32.09,0.837,-1.483,378.64743,129.67027,92.95567,41.434002,89.41183,115.33009,3.2499695,1.7929385,1.8549312
2.0,1.0,2.0,7.27,1.148,72.33,-1.901,-2.858,68.75,-0.494,-2.039,96.11,-0.36,0.541,39.72,0.653,-0.528,380.96033,121.377014,90.70059,54.573685,107.6101,121.88577,2.9462297,1.628008,1.4727287
2.0,1.0,2.0,401.82,1.655,412.92,0.042,-1.871,104.67,-0.489,-1.611,350.34,-0.517,1.648,63.27,-0.153,1.401,950.1419,124.01921,65.68825,167.27968,505.96112,410.08368,2.88095,0.5912369,0.43989202
2.0,2.0,2.0,15.8,-0.39,153.57,0.583,1.778,79.91,0.664,0.545,142.79,0.677,-1.68,102.04,0.646,-0.875,469.91882,128.41406,94.641014,91.17003,233.30762,244.8014,2.730214,1.2356578,0.8055967
2.0,2.0,2.0,16.45,1.578,173.43,0.219,-1.133,83.32,1.016,-1.73,149.91,0.643,2.228,43.66,0.385,1.011,462.65085,121.137054,94.83141,84.04901,239.20152,192.44763,2.9762115,0.99580014,1.2440468
2.0,0.0,2.0,15.42,-1.308,296.25,0.76,-0.609,51.0,0.775,0.451,201.63,-0.86,2.764,108.74,-1.568,2.478,994.1571,124.29165,115.05812,16.87496,347.24512,292.90045,3.6528323,1.0601063,0.7635836
2.0,0.0,2.0,86.0,2.164,615.36,-0.584,-1.159,93.65,-0.127,-1.43,450.27,-0.365,1.977,86.99,-0.825,2.286,1250.9285,128.26935,110.20693,179.01921,700.6194,529.62744,3.0631719,0.5313096,0.55414885
2.0,1.0,2.0,27.07,0.285,89.85,1.042,-2.633,56.34,-0.049,2.128,97.16,0.109,-0.37,49.24,0.524,0.801,321.32883,127.59155,81.73053,17.129606,126.17677,143.59933,3.123273,1.8727866,1.2423631
2.0,0.0,2.0,29.19,-0.35,148.39,-0.348,-2.933,138.62,-1.168,-2.844,180.07,-1.302,0.59,72.25,-1.124,-0.405,579.29767,121.599976,110.74923,61.668697,263.25162,251.504,3.114061,0.82481575,1.0107963
2.0,2.0,2.0,104.54,0.58,281.62,0.68,2.663,266.46,0.298,2.419,317.38,0.079,0.972,95.84,-0.498,0.921,762.4906,124.61746,102.42135,678.6643,538.1208,401.12558,1.6776477,0.45327708,0.5792495
2.0,1.0,2.0,12.47,1.682,110.48,0.29,-2.817,87.72,-0.065,2.167,99.9,0.399,-0.079,60.59,1.339,-1.168,395.54065,124.16438,110.68125,40.352123,195.12732,144.19106,2.9706066,1.3468136,1.438583
2.0,1.0,2.0,195.18,-2.507,296.37,-0.267,0.597,110.45,0.035,1.235,187.15,0.096,-2.54,80.16,0.423,-2.932,674.75037,126.041954,62.40494,156.11668,403.16208,264.31937,2.8853161,0.7058669,0.5104831
2.0,1.0,2.0,110.03,-2.141,294.12,0.774,1.297,149.29,0.298,0.912,240.42,-0.586,-2.149,62.89,-1.066,-2.48,911.0976,128.7108,72.05933,161.55171,432.2616,297.62338,3.1761692,0.6122099,0.58306175
2.0,0.0,2.0,24.76,0.215,172.62,-0.908,3.091,92.94,-0.304,-2.41,217.74,-0.066,-0.453,106.69,-0.808,0.051,612.75775,123.9279,138.43687,155.57857,254.6469,305.0262,2.6624315,0.9882455,0.8969838
2.0,2.0,2.0,30.65,-1.595,172.51,0.299,1.668,33.98,1.33,3.032,108.97,0.494,0.603,52.08,0.348,-0.739,316.9219,126.96228,94.32493,216.56207,192.19756,160.67465,1.6462369,1.709812,1.3499188
2.0,1.0,2.0,38.79,0.854,94.34,-1.09,-2.273,43.71,0.544,-1.603,92.35,-0.837,0.459,88.79,-0.955,1.505,367.42355,124.38277,91.088196,29.69207,101.438126,180.82494,3.058079,1.7660283,1.0526348
2.0,1.0,2.0,12.44,-0.59,138.82,0.991,-3.007,86.91,1.873,2.647,74.15,1.156,-0.608,67.58,-0.175,-0.87,436.73904,120.95715,103.00422,130.81383,205.33235,111.55976,2.6440225,1.0834197,1.3565415
2.0,2.0,2.0,42.18,2.082,111.19,-1.64,-2.488,66.45,-1.746,-0.761,148.38,-1.224,-0.295,90.48,-0.927,0.732,390.07025,130.99281,118.96009,194.51627,177.40639,236.38643,2.0731034,1.73025,1.0690827
2.0,1.0,2.0,21.81,2.581,288.6,-0.855,3.131,182.03,-0.895,-2.608,472.74,0.34,0.053,128.86,0.551,-0.397,1277.0396,123.536,121.86532,185.11496,470.54074,599.35004,3.1614053,0.54565305,0.4970121
2.0,1.0,2.0,127.78,-1.964,265.67,0.045,1.408,87.54,-0.537,2.047,93.7,-0.852,-1.221,86.31,-1.078,-2.164,562.77594,131.45331,84.19635,180.85059,342.19812,178.86389,3.1678731,0.8643176,0.9697036
2.0,3.0,2.0,9.79,-0.889,185.43,-0.147,-2.725,170.59,-0.418,2.892,229.72,-1.17,-0.074,38.59,-1.606,-0.851,693.9434,125.954025,82.462944,112.60512,352.7624,265.20105,3.0204968,0.7191972,0.8909685
2.0,3.0,2.0,37.22,1.786,476.77,1.22,-0.478,194.18,1.63,-0.599,399.98,0.499,3.054,131.9,0.788,2.687,1285.3013,130.90294,107.06787,245.15427,659.41504,527.7505,2.9097686,0.42748216,0.4671294
2.0,1.0,2.0,17.0,-1.8,148.06,1.095,1.853,41.42,2.164,0.712,111.7,1.656,1.024,35.26,1.274,2.969,236.56395,121.88519,106.480774,271.0689,171.86333,145.0154,0.35732254,1.5635351,1.9821577
2.0,1.0,2.0,55.1,0.4,198.37,0.388,-2.687,86.96,0.781,-1.775,85.09,0.165,0.049,70.99,-0.72,0.392,469.32303,126.80394,75.840576,148.0572,280.68317,141.17616,2.7297099,0.99307245,0.9491438
2.0,1.0,2.0,63.69,0.976,408.43,1.008,1.208,120.89,1.142,0.65,583.57,0.73,-2.202,68.7,1.294,-2.032,1191.3877,125.9633,119.37492,154.66284,528.4831,642.6802,3.0257492,0.5738639,0.58906364
2.0,2.0,2.0,120.15,-2.303,198.44,-0.022,-0.31,68.93,-0.552,0.703,168.99,0.843,-2.845,92.83,1.022,-2.237,599.5785,129.65144,78.27244,140.1738,260.25665,260.86093,2.77915,1.1432712,0.63380206
2.0,0.0,2.0,17.5,-2.836,245.79,0.424,-1.634,73.11,0.03,-0.771,244.32,-1.259,1.496,77.47,-1.982,2.079,936.9866,124.09201,128.785,23.072344,314.55295,306.72205,3.55314,0.9486859,0.92877233
2.0,1.0,2.0,18.1,2.972,231.13,1.094,-2.719,118.75,1.557,-2.128,179.73,0.07,0.675,44.48,1.179,1.325,659.3484,123.69472,118.92203,128.86038,341.5211,203.4828,3.1087987,0.75076634,1.2854497
2.0,3.0,2.0,70.04,2.399,141.33,1.718,-0.116,120.61,1.276,-1.0,212.38,1.023,2.852,61.15,1.399,1.912,556.2088,125.93687,111.860016,18.457518,255.60963,270.19278,3.1332633,0.9883421,1.0124108
2.0,0.0,2.0,48.87,-1.834,277.44,-0.815,1.351,191.04,-0.306,1.138,339.91,0.723,-1.972,63.97,1.022,-1.444,1105.2197,128.16577,88.774055,69.66876,453.9114,401.4842,3.418094,0.5517699,0.60678256
2.0,1.0,2.0,37.42,-2.19,157.75,0.028,0.245,93.06,0.138,1.373,161.82,-1.371,-2.171,67.42,-0.832,-3.047,590.18427,130.22382,105.34311,16.497927,250.456,222.39024,3.3219004,1.1333508,1.028541
2.0,2.0,2.0,16.05,-0.294,317.26,-0.026,-2.732,127.11,-0.592,-2.956,172.65,-1.722,-0.108,171.19,-1.683,0.564,1031.5587,123.62267,113.565735,125.84886,429.98486,343.77463,3.3795724,0.6087134,0.6731307
2.0,1.0,2.0,12.1,0.82,148.89,-0.159,0.852,67.11,0.065,2.124,129.42,-0.742,-2.092,38.62,-1.776,-2.892,439.24414,120.850235,94.17596,61.419907,214.84117,152.81706,2.9435904,1.2915728,1.3073469
2.0,1.0,3.0,59.19,1.707,85.5,-0.172,-2.484,65.64,-1.299,-1.248,228.14,2.084,0.912,65.43,1.943,0.076,934.9987,124.30507,100.67866,173.20863,128.21198,293.06494,3.8292856,1.67267,0.84780717
2.0,1.0,2.0,20.7,2.606,260.85,0.235,2.585,212.54,-0.224,2.315,313.89,-1.136,-0.463,51.72,-0.302,-0.546,976.2412,126.111275,109.87986,133.37338,461.1088,350.73962,3.1166196,0.5325232,0.83812
2.0,3.0,2.0,33.04,0.631,93.94,0.313,3.113,55.49,1.227,1.626,170.44,-0.653,1.239,42.07,-0.118,0.658,379.45883,119.24466,66.745026,245.09818,135.16463,207.74176,1.9038686,1.745441,0.7898013
2.0,1.0,2.0,17.98,2.687,510.15,0.073,-0.116,150.21,0.25,-0.538,725.23,0.315,-3.074,73.06,0.434,2.672,1453.216,125.9055,125.207565,215.63365,658.54456,797.82043,2.9183807,0.4576166,0.5502085
2.0,0.0,2.0,11.17,-2.448,184.91,-0.759,0.391,94.85,-0.627,1.368,174.74,1.576,-2.833,75.8,2.183,-2.051,1009.6456,125.52785,112.81523,44.573257,279.21408,240.91096,3.867095,0.98587674,0.9899358
2.0,1.0,2.0,16.5,3.01,217.97,-0.047,-0.732,119.65,0.709,-0.899,254.76,-0.243,2.217,79.72,-0.38,1.381,708.9582,127.88658,117.338486,106.97724,315.87668,333.91055,2.8627346,0.7742254,0.8471511
2.0,2.0,2.0,13.01,0.388,343.8,-0.896,1.731,164.65,-1.368,1.533,407.55,-1.317,-1.993,75.91,-1.781,-1.532,1002.2273,122.71471,115.06596,220.00862,496.12772,476.64615,2.7156126,0.5118476,0.65407735
2.0,0.0,2.0,15.21,-1.173,207.44,1.021,2.635,68.31,1.599,1.725,148.21,-0.181,-0.455,87.09,0.517,-1.052,612.76447,125.753494,104.94526,31.500269,267.27206,222.10054,3.2808836,1.0780464,0.91848403
