num_photons,num_jets,num_btag,MET_pT,MET_phi,photon1_pT,photon1_eta,photon1_phi,photon2_pT,photon2_eta,photon2_phi,btag1_pt,btag1_eta,btag1_phi,btag2_pt,btag2_eta,btag2_phi,m_hh,m_phopho,m_bb,pT_hh,pT_phopho,pT_bb,dR_hh,dR_phopho,dR_bb
2.0,2.0,2.0,25.48,-2.765,236.19,0.537,0.388,64.98,0.91,-0.572,67.92,1.375,2.674,65.99,1.304,1.084,367.30023,123.495316,95.7017,282.45663,297.64526,133.82564,1.8449614,1.0299172,1.5915843
2.0,0.0,2.0,18.49,2.615,128.64,-0.155,-0.152,58.85,-0.529,1.314,95.91,-0.472,-2.66,58.02,-0.708,2.148,345.3821,120.948105,101.87394,48.795567,184.6777,152.92467,2.8625393,1.5129546,1.493944
2.0,1.0,2.0,59.56,0.157,234.43,0.918,-2.993,96.68,0.89,-2.12,210.7,1.221,0.499,45.55,0.554,0.009,596.0382,127.36421,81.78648,54.15433,331.0832,248.09325,3.1268833,0.873449,0.8276406
2.0,1.0,2.0,129.82,0.925,203.7,0.241,-1.814,71.29,-0.638,-2.349,127.16,-0.071,1.356,117.45,-0.189,0.669,539.30585,126.56896,83.571014,55.200073,255.15378,244.18506,2.9798622,1.0290122,0.6970603
2.0,0.0,2.0,54.52,0.677,274.31,-1.556,-2.09,133.12,-0.924,-2.207,283.98,1.23,0.731,97.23,1.829,0.944,1708.2653,124.806694,107.02684,93.53827,389.73434,368.38403,3.994249,0.64273864,0.6357437
2.0,3.0,2.0,24.58,-1.744,87.51,-1.043,1.159,80.64,-2.044,0.014,201.73,-1.66,-2.272,32.49,-0.855,-1.029,421.37408,126.354515,115.62755,100.67416,147.56201,225.4688,2.740913,1.5208633,1.4809031
2.0,0.0,2.0,17.26,-0.194,127.28,0.056,0.941,59.81,0.616,2.39,102.59,-0.019,-2.053,42.78,1.442,-2.09,373.10574,125.80064,105.657616,40.671085,180.76805,115.39778,2.870587,1.5534482,1.4614686
2.0,1.0,2.0,25.17,-2.261,193.16,0.583,0.27,58.6,1.019,1.414,173.19,0.371,-1.91,77.25,1.023,-2.575,504.76242,124.31046,107.67286,119.813736,247.51814,239.23087,2.6238809,1.224268,0.93130517
2.0,2.0,2.0,17.31,-2.385,584.12,0.962,2.071,53.47,0.92,1.361,582.42,0.228,-1.673,31.38,0.367,-0.955,1297.2567,123.082214,96.838524,312.893,637.5468,613.5127,2.7266715,0.7112414,0.73133093
2.0,1.0,2.0,33.01,3.006,162.17,1.323,-2.616,61.38,0.183,-2.255,164.06,0.782,0.628,41.76,-0.218,0.086,486.81097,125.22983,96.98081,29.334063,195.90834,189.9025,3.067907,1.195793,1.1374375
2.0,0.0,2.0,41.62,-1.62,153.42,-1.769,1.947,62.73,-0.881,2.848,67.55,-0.706,-1.083,51.37,-2.14,-0.419,375.29437,124.093994,99.59886,88.73861,199.04173,90.26793,2.9995701,1.2650474,1.5802697
2.0,0.0,2.0,34.37,-2.412,109.93,0.627,0.466,92.57,-0.306,1.264,100.34,2.262,-2.424,49.59,1.346,-1.847,542.92816,125.1535,78.01533,44.11378,181.03091,136.3373,3.5300682,1.2277187,1.0825826
2.0,1.0,2.0,1.32,-1.955,129.57,0.352,1.66,87.78,0.653,2.889,52.4,1.43,-2.077,30.22,0.93,-0.404,294.97546,127.12645,62.404934,132.54237,214.98447,80.2394,2.725604,1.2653228,1.7461181
2.0,1.0,2.0,31.79,-0.657,183.24,-0.329,2.231,37.19,-1.311,-2.867,102.07,-0.857,-0.481,32.15,-1.644,1.28,369.75003,124.979904,99.717094,127.776,206.22615,126.82776,2.624252,1.539152,1.9288571
2.0,3.0,2.0,28.71,-2.234,551.06,0.992,2.803,62.81,0.44,-3.128,184.68,0.383,1.614,183.19,0.787,2.276,515.28705,122.743126,141.03264,871.3936,605.43787,360.39032,0.9606428,0.65478134,0.77553844
2.0,1.0,3.0,80.62,3.05,153.69,-0.154,-2.497,77.24,-0.38,2.612,87.3,1.896,-0.328,50.73,1.478,0.702,553.34955,123.20518,71.29242,83.741425,229.61908,135.23933,3.5111187,1.1957369,1.1115862
2.0,3.0,2.0,62.28,0.253,290.21,-0.864,-1.684,82.54,-0.109,-2.022,235.14,0.148,0.206,103.45,-0.165,-0.352,652.6174,130.48386,98.90473,435.2751,354.85858,335.08127,1.9434421,0.82720554,0.63979125
2.0,1.0,3.0,18.54,-0.844,173.6,0.506,1.843,157.82,0.826,2.53,131.56,1.472,-1.104,111.24,1.818,-1.479,641.2012,123.5301,61.673065,110.51194,327.19653,239.20123,2.9999945,0.7578714,0.5102362
2.0,0.0,2.0,13.58,2.738,87.97,-0.733,-1.258,63.08,-1.879,0.017,99.18,-1.711,1.738,86.48,-1.028,2.673,369.82678,126.42884,105.48368,54.339096,127.63936,174.99046,2.9179707,1.7143339,1.1578921
2.0,0.0,2.0,21.19,1.018,139.08,1.924,-1.756,36.43,0.835,-0.326,160.45,1.968,1.979,33.99,2.332,0.522,394.77017,123.84596,101.97772,29.877337,159.26678,192.59352,3.0168462,1.7974485,1.5017805
2.0,0.0,2.0,40.69,2.644,94.89,-0.941,-0.787,84.4,-1.149,0.73,74.88,-0.284,2.351,44.79,0.097,-2.214,327.91022,124.514694,90.47428,50.759716,178.32458,117.64317,3.1414196,1.5311933,1.7599213
2.0,3.0,2.0,37.47,2.829,179.93,-0.152,1.062,93.09,0.502,0.387,102.26,-2.013,-2.475,102.04,-1.117,-2.63,686.3411,121.529015,95.93182,79.21634,260.05298,184.13873,3.3271816,0.9398622,0.909308
2.0,1.0,2.0,10.93,-1.577,166.88,0.293,1.982,50.34,0.091,-2.87,91.18,1.186,-0.31,45.27,0.342,-1.362,377.95245,121.685585,85.32974,69.98562,216.43224,125.89173,2.9767687,1.445371,1.3487182
2.0,2.0,2.0,18.78,1.108,351.48,-1.003,0.664,121.67,-0.517,0.339,207.96,-0.194,-2.413,183.06,-0.772,-2.611,906.31366,121.56727,120.681145,82.67936,462.56607,374.8713,3.113904,0.5846546,0.610973
2.0,1.0,3.0,91.87,-2.678,190.91,-0.164,1.308,54.47,1.005,1.215,92.91,-0.772,2.019,66.15,0.029,2.997,325.30936,126.46906,97.89456,330.7718,218.0528,146.84409,1.260085,1.1726935,1.2641538
2.0,2.0,2.0,47.24,2.302,138.61,-0.969,-1.059,47.37,-2.353,-0.758,115.4,-1.669,2.221,47.51,-1.492,-2.74,380.13574,123.72301,91.866356,80.9252,154.58139,162.38335,2.7440765,1.4163533,1.3339806
2.0,1.0,2.0,35.01,-0.024,189.0,-0.48,2.126,86.54,-0.416,-3.127,99.39,-1.123,-1.783,48.21,-0.645,-0.067,405.5425,126.26762,109.934616,169.56741,275.41846,143.9154,2.5928419,1.032171,1.781331
2.0,3.0,2.0,28.92,-2.586,299.61,1.563,0.109,58.57,1.861,1.074,113.67,1.852,-2.818,54.6,1.566,-2.35,500.03387,129.15802,42.963284,179.83846,356.01413,166.76505,2.9237769,1.0099648,0.54847074
2.0,3.0,2.0,53.43,2.71,120.8,-0.892,-0.852,80.17,-0.807,-2.255,174.92,0.166,0.975,35.88,-0.827,1.416,445.36017,127.295944,88.96649,135.32414,200.79593,196.82523,2.5741,1.4055727,1.086522
