num_photons,num_jets,num_btag,MET_pT,MET_phi,photon1_pT,photon1_eta,photon1_phi,photon2_pT,photon2_eta,photon2_phi,btag1_pt,btag1_eta,btag1_phi,btag2_pt,btag2_eta,btag2_phi,m_hh,m_phopho,m_bb,pT_hh,pT_phopho,pT_bb,dR_hh,dR_phopho,dR_bb
2.0,1.0,2.0,32.89,-0.618,199.5,-0.032,2.218,127.78,0.561,1.711,245.45,-0.581,-1.047,36.25,0.238,-1.016,668.04803,125.07445,79.48481,42.4902,313.6998,271.50134,3.1364796,0.78019094,0.81958646
2.0,2.0,2.0,16.06,-0.129,107.62,0.708,-1.141,37.66,-0.508,-2.702,59.2,-0.467,1.735,49.45,-1.077,3.099,315.6517,121.635994,76.00147,71.978065,125.76302,103.67682,2.7022402,1.9787313,1.4941874
2.0,2.0,2.0,109.34,2.393,404.09,-0.277,-0.387,135.44,0.23,-0.586,198.88,0.178,2.332,132.77,0.71,2.193,885.44055,128.57857,90.33615,273.57706,526.61487,320.4575,2.7663982,0.5446559,0.54985905
2.0,1.0,2.0,18.38,2.092,142.83,1.33,-2.429,91.52,2.129,3.123,144.86,0.83,0.025,45.26,0.316,0.801,493.0621,124.42388,74.32723,60.234207,216.81671,185.61047,3.061162,1.0830665,0.9307911
2.0,0.0,2.0,35.44,0.898,233.23,-0.26,-1.23,106.07,-1.011,-1.286,203.91,-0.549,2.266,73.01,0.069,1.682,641.25885,121.237144,103.94205,97.51287,319.08524,266.7911,2.922906,0.753085,0.85028225
2.0,1.0,2.0,17.21,0.813,86.69,-2.148,-2.142,66.46,-0.708,-1.906,73.05,-1.189,1.238,34.33,-1.643,1.239,301.00897,120.32787,22.931217,47.995235,115.90919,104.98754,3.010259,1.4592108,0.4540011
2.0,2.0,2.0,56.28,-1.227,122.71,0.757,0.481,98.43,-0.252,-0.014,285.99,-0.266,1.368,114.23,-0.773,1.611,470.14816,127.57588,102.46189,519.52783,193.94496,389.81656,1.3768697,1.12388,0.5622258
2.0,1.0,2.0,32.9,0.708,82.69,0.246,0.393,54.07,1.198,2.125,100.36,-0.185,-1.896,67.01,1.053,-2.327,347.648,121.42867,113.67864,72.72943,122.26247,137.68257,3.100702,1.9763926,1.3108793
2.0,0.0,2.0,29.12,0.323,275.6,-1.074,0.532,187.32,-0.547,0.704,306.92,-0.348,-2.708,148.52,-0.662,-2.394,958.04285,127.264755,94.81031,31.932129,447.53302,450.51974,3.102682,0.5543582,0.44406298
2.0,2.0,2.0,25.4,1.981,380.14,-0.532,1.644,194.43,-0.987,1.704,189.81,0.017,-1.869,185.34,-0.549,-2.071,952.7296,125.82986,114.037766,301.98007,561.33014,360.22946,2.6838553,0.45893896,0.600966
2.0,0.0,2.0,30.13,0.051,187.31,-1.361,-2.928,101.72,-0.715,2.702,129.92,-0.937,0.458,109.19,-1.045,-0.548,539.827,126.78997,115.54935,65.50227,275.42667,238.7641,3.1292322,0.9186768,1.0117804
2.0,2.0,2.0,75.14,-1.379,79.4,2.201,-1.202,70.38,0.836,-0.318,152.82,1.933,1.457,110.52,1.124,1.664,428.35397,127.36695,111.31615,194.9514,116.36818,242.66,2.3325853,1.6262475,0.8350629
2.0,0.0,2.0,24.32,2.519,252.93,0.894,-0.792,60.72,0.751,-1.827,271.47,0.465,1.954,32.49,1.211,-3.114,633.55835,123.89185,128.99182,30.784922,313.1498,296.15305,3.0515904,1.0448321,1.4259002
2.0,1.0,3.0,101.62,2.522,553.6,-0.503,-0.888,108.27,-0.928,-1.155,346.83,-0.082,2.838,197.94,-0.133,2.403,1211.4132,123.44189,113.86672,303.52625,653.7641,544.6061,2.7125614,0.50191027,0.43797937
2.0,1.0,2.0,40.68,0.451,186.79,0.45,-2.683,70.94,0.547,-1.616,238.9,0.513,1.601,64.13,0.278,0.742,531.7074,117.61259,107.128624,183.29483,257.4882,301.63718,2.444464,1.0714002,0.890565
2.0,2.0,2.0,26.3,1.535,184.66,-1.715,2.311,78.05,-1.757,-2.912,128.1,-0.615,1.337,57.44,0.748,1.861,538.05414,121.50547,133.7754,352.17017,262.6616,150.81433,1.9183989,1.0610173,1.4602551
2.0,2.0,2.0,19.6,-1.072,261.09,-0.361,2.752,201.58,0.122,2.442,842.8,0.764,-0.424,30.06,1.279,-0.459,1429.4381,132.42397,83.06759,420.32935,449.46884,869.0871,3.1819825,0.5739243,0.516188
2.0,0.0,2.0,19.64,1.897,128.09,-0.427,-0.251,91.84,0.173,-1.27,99.52,0.641,2.195,38.07,0.523,-2.465,384.03275,124.72991,89.59387,89.134674,210.38007,137.39838,3.1468804,1.1825234,1.6274688
2.0,3.0,2.0,79.13,0.606,311.47,0.301,2.531,76.93,0.554,-2.947,253.08,-1.728,0.542,243.08,-1.878,0.98,1359.4733,127.49632,114.02317,496.60275,386.43106,494.76575,2.8882318,0.8439981,0.46297297
2.0,1.0,2.0,29.11,2.796,193.34,-0.626,0.298,117.48,-0.167,-0.424,154.1,-0.014,-2.249,88.58,0.118,3.131,557.29083,127.29754,103.13375,153.65527,303.162,242.19019,2.6442807,0.85554945,0.91278005
2.0,3.0,2.0,48.1,-0.466,157.35,1.525,-3.109,63.06,2.085,2.011,158.28,1.239,-0.52,43.85,1.779,-1.274,433.9123,123.1745,76.39326,76.595825,213.42293,197.18358,2.75962,1.2909688,0.9274244
2.0,1.0,2.0,35.3,1.148,232.02,-0.654,-2.396,40.28,-0.038,2.581,85.56,0.331,0.424,54.06,-0.227,2.197,412.62683,132.14738,112.189545,168.22177,265.91675,134.50111,2.7705212,1.4441521,1.8587343
2.0,0.0,2.0,26.4,0.384,440.16,1.193,0.51,42.7,1.912,1.067,239.27,0.686,-2.833,201.13,0.861,-2.328,962.6497,125.79315,116.15453,51.091404,473.12686,438.72784,3.1619456,0.9095108,0.5344623
2.0,1.0,2.0,61.59,0.33,154.64,0.398,-2.915,96.14,-0.609,-2.871,101.49,-0.707,0.71,43.29,0.141,-0.341,429.60092,128.15056,88.180374,125.87058,221.46408,134.11453,3.0052187,1.0079608,1.3504462
2.0,2.0,2.0,66.77,2.689,246.57,-1.101,3.087,100.48,-0.984,-2.404,386.2,-1.363,2.326,89.48,-1.709,1.879,484.08392,122.84626,104.73354,687.4792,346.5616,471.35498,1.1251937,0.80077845,0.5652654
2.0,1.0,2.0,111.44,-0.037,236.98,0.446,2.792,30.55,-0.871,-3.064,163.25,-0.011,-0.099,65.81,-0.694,-0.557,546.8737,125.625336,86.163055,44.580814,246.4312,218.28555,3.1059794,1.3845491,0.82234603
2.0,1.0,2.0,48.69,-0.479,171.75,1.701,-3.051,80.77,1.663,2.092,123.14,0.582,0.203,77.75,-0.201,-0.184,585.7984,127.21343,87.13201,66.64159,252.48033,186.49617,3.168349,1.1408186,0.87341744
2.0,1.0,2.0,13.35,-1.984,92.55,0.417,0.748,55.75,2.025,1.008,99.45,0.147,-2.488,34.18,0.855,2.593,351.15222,129.70032,78.26287,68.27291,106.253174,127.36984,2.7672243,1.6288843,1.3951756
2.0,0.0,2.0,20.08,-2.721,316.11,-0.482,-1.492,102.9,0.09,-1.135,229.67,0.457,1.401,176.01,0.773,1.872,934.0898,122.62826,113.46138,56.659378,406.46506,400.7158,3.1510873,0.67426485,0.5671834
2.0,0.0,2.0,41.61,-0.607,164.06,0.799,2.664,88.54,0.505,-2.576,123.52,1.485,0.096,31.82,2.308,-0.518,461.05466,125.25844,65.20471,73.879036,250.12042,147.02124,3.1913319,1.0838228,1.0268034
2.0,1.0,2.0,25.42,2.354,100.28,-0.538,-2.212,70.86,0.67,-1.465,190.05,-0.159,2.727,38.56,-1.095,2.288,371.0997,124.40801,91.064514,255.82108,141.84781,215.16847,1.7494298,1.4203074,1.0338361
2.0,1.0,3.0,59.31,-2.041,641.18,-0.549,0.972,41.48,-0.519,0.187,192.22,-1.874,-2.623,34.9,-1.698,-1.71,954.4469,124.85443,73.63769,468.10675,682.64246,226.66325,3.141915,0.7855731,0.929809
2.0,3.0,2.0,93.21,1.823,203.74,-0.219,0.117,80.76,0.468,-0.599,63.25,1.116,-2.768,55.21,0.307,2.489,420.9422,127.11049,76.01706,166.67863,271.06293,108.94615,3.2114637,0.99228257,1.3067276
2.0,0.0,2.0,9.56,-1.389,221.83,-1.728,0.934,40.37,-0.495,0.83,156.46,-1.095,-2.416,127.61,-0.332,-2.167,637.7692,124.60358,115.88782,29.579956,238.27296,263.86612,3.154092,1.2373782,0.802602
2.0,1.0,2.0,118.62,-1.675,185.81,0.146,0.472,43.84,1.156,1.328,119.42,1.016,-1.447,32.49,0.826,-1.037,363.94376,121.052124,27.993286,208.22015,212.39651,151.44968,2.0803132,1.3239471,0.45188504
2.0,1.0,2.0,81.24,-2.789,194.99,0.143,0.471,82.81,0.174,-0.493,215.87,-0.222,2.928,215.78,0.05,-2.952,694.2322,117.87424,104.58258,184.37369,277.77206,427.66425,2.942017,0.9644983,0.4863561
2.0,0.0,3.0,28.91,-1.633,148.35,-0.4,1.121,87.18,0.25,0.224,80.74,-0.609,-2.357,55.96,-0.069,-2.271,383.45425,124.04118,37.191864,77.40852,224.05318,131.91318,3.1271062,1.1077496,0.5468053
2.0,1.0,2.0,49.16,1.98,105.16,-0.001,-0.342,69.88,-1.03,-1.358,117.66,-1.701,2.626,45.9,-2.234,-2.369,456.56027,124.287476,96.747314,80.49536,153.36497,158.91383,2.9627013,1.4460626,1.3940985
2.0,0.0,2.0,26.76,-2.173,147.26,0.861,-1.614,108.58,0.418,-2.498,155.98,0.211,1.094,67.23,1.153,0.517,505.42484,122.03224,115.79998,54.7027,249.73419,202.94186,2.9123156,0.98878974,1.1046687
2.0,1.0,2.0,46.06,2.867,175.59,0.027,0.165,136.1,0.152,-0.625,105.54,-0.323,-2.703,76.25,0.426,2.836,488.4553,120.53538,94.786575,136.29784,311.09122,169.52917,2.836427,0.79982805,1.055847
2.0,1.0,2.0,41.89,0.71,98.79,-2.291,-1.309,91.38,-1.568,-2.516,166.63,-2.172,1.468,64.96,-2.015,0.39,433.8064,128.6801,108.04713,50.454266,177.89812,231.01443,3.076972,1.4069748,1.089373
2.0,2.0,2.0,74.32,0.646,392.46,0.714,-2.726,218.96,0.379,-2.47,290.71,1.031,0.584,226.9,0.664,0.239,1151.6254,123.83608,129.45312,105.190025,603.5565,509.05304,3.079895,0.42161715,0.5037004
2.0,1.0,2.0,75.49,2.403,605.75,0.645,-0.257,64.88,0.343,0.287,237.08,0.685,3.044,191.39,0.353,2.662,1081.3757,122.304245,107.650505,243.53632,667.9726,422.64752,3.0808895,0.6222057,0.50611067
2.0,0.0,2.0,99.01,-1.317,530.39,-0.772,1.786,45.59,-1.188,2.507,432.59,-0.734,-1.305,64.02,-0.675,-1.902,1073.5795,127.59347,98.3731,88.257545,572.3883,496.51294,3.0659714,0.8324043,0.59990823
2.0,2.0,3.0,28.55,-1.646,150.85,1.348,2.526,81.32,2.066,-2.829,110.9,0.876,-0.242,58.0,1.765,0.555,432.13504,128.18568,96.443184,79.15843,218.73723,154.17462,2.8462462,1.1734788,1.1939555
2.0,1.0,2.0,62.77,2.576,222.44,-0.616,-0.742,96.4,-0.234,0.07,90.51,-1.138,-3.119,52.47,-0.867,-1.596,406.5801,128.63051,96.92901,259.9309,313.955,141.7626,2.1694853,0.8973673,1.5469228
