num_photons,num_jets,num_btag,MET_pT,MET_phi,photon1_pT,photon1_eta,photon1_phi,photon2_pT,photon2_eta,photon2_phi,btag1_pt,btag1_eta,btag1_phi,btag2_pt,btag2_eta,btag2_phi,m_hh,m_phopho,m_bb,pT_hh,pT_phopho,pT_bb,dR_hh,dR_phopho,dR_bb
2.0,0.0,2.0,16.12,3.124,115.35,0.67,2.219,39.94,-0.571,-2.582,138.33,0.014,-1.117,75.82,-0.611,-0.551,406.31314,128.26804,86.62138,95.77464,133.73418,204.6825,2.8726292,1.9331205,0.8431969
2.0,0.0,2.0,29.0,-1.214,103.19,-0.069,0.251,54.8,-0.926,1.81,93.97,-0.513,-2.654,49.83,-1.775,3.057,352.517,124.85945,99.96552,60.112972,145.10588,118.99388,2.7620103,1.779025,1.3856552
2.0,0.0,2.0,11.65,-2.898,111.19,0.629,1.789,36.08,-0.904,2.837,100.86,0.68,-0.307,72.44,0.497,-2.028,362.26355,124.267815,130.5549,24.559525,118.18702,172.59457,3.0318842,1.8569849,1.7307022
2.0,1.0,2.0,14.26,-0.458,153.78,0.653,-2.553,59.67,1.683,3.017,287.67,1.944,-2.044,54.17,1.341,-2.574,388.25507,122.87914,100.57689,514.0891,191.45967,333.70355,1.084625,1.2528104,0.8028132
2.0,3.0,2.0,43.07,1.053,103.03,-0.44,0.224,75.84,-0.896,-1.242,170.48,0.495,2.055,72.26,-0.068,-2.957,475.12354,125.08393,146.20158,92.30521,174.34927,234.77661,2.9345696,1.5352823,1.3902808
2.0,1.0,2.0,20.48,-1.227,110.69,0.697,-2.446,75.12,0.31,2.413,96.08,0.999,-0.878,48.44,1.629,0.472,350.00098,124.34464,95.80603,81.46488,182.4705,138.19951,2.6212327,1.4758292,1.489765
2.0,2.0,2.0,28.3,-0.25,142.44,1.08,2.864,42.66,0.337,1.309,81.71,2.046,-1.845,63.85,1.686,-0.213,374.02533,124.38942,108.425415,86.488945,176.23564,143.24397,2.7339087,1.7233903,1.6712343
2.0,0.0,2.0,20.41,2.507,137.22,-0.605,-0.957,57.21,-0.341,0.614,62.04,0.353,1.879,33.13,0.028,-2.917,301.09546,127.492096,63.138615,79.57158,193.02606,94.03262,3.011315,1.5930277,1.5222833
2.0,3.0,2.0,50.03,-2.777,201.34,0.624,2.239,80.83,1.136,1.369,169.84,-0.007,-1.471,42.33,0.512,0.012,528.28796,126.177025,122.87501,84.590744,274.6745,207.65996,3.1241503,1.0094771,1.5711938
2.0,0.0,2.0,41.73,-2.932,118.1,-1.017,-0.002,101.43,-0.806,-1.188,88.3,-1.64,2.842,47.95,-0.638,1.89,373.83978,124.4991,90.4146,60.9697,218.31648,121.06649,3.082176,1.2046233,1.3821388
2.0,1.0,2.0,30.09,-2.063,110.48,-0.805,1.398,81.01,-2.055,1.251,87.27,-1.762,-1.525,72.26,-1.063,-2.714,392.736,126.86927,105.459854,70.74104,156.24568,149.97356,2.893099,1.258614,1.3792468
2.0,2.0,2.0,17.98,0.364,144.98,1.08,-0.096,73.54,1.976,-0.997,151.42,0.357,-3.013,84.74,1.185,3.04,517.2648,131.27467,99.9402,100.01715,199.37163,217.86655,2.802491,1.2706755,0.8594005
2.0,0.0,2.0,13.65,-1.369,138.91,0.114,1.365,51.49,-1.207,0.94,100.36,-0.528,-1.353,98.84,-0.929,-2.509,438.7714,125.21151,116.01929,21.145382,159.63548,195.20967,3.1387439,1.3876836,1.2235755
2.0,1.0,2.0,23.14,-2.284,163.59,-0.971,0.777,52.05,-1.286,-0.697,180.92,-0.337,2.482,58.52,0.47,2.997,479.68542,127.4197,100.119995,205.4264,213.6883,225.39436,2.315525,1.5072829,0.9573265
2.0,0.0,2.0,20.93,-0.591,204.39,-1.278,2.133,32.73,-1.857,-2.597,124.75,-1.387,-0.876,38.49,-0.268,-0.158,424.0679,124.29713,95.06518,57.349503,232.47621,145.72801,3.0151598,1.6575967,1.3295431
2.0,0.0,2.0,14.47,1.012,211.04,1.152,-1.972,80.32,0.894,-1.014,149.74,0.231,1.462,101.16,-0.188,1.714,620.7909,124.64901,60.459393,40.463146,289.428,245.62196,3.16628,0.99213296,0.4889428
2.0,0.0,2.0,30.0,-2.739,118.82,1.638,0.639,57.54,1.554,-1.151,93.04,1.136,-2.843,43.8,1.113,1.974,320.57272,129.211,85.448265,33.72721,176.22325,136.8321,2.9077053,1.79197,1.4663663
2.0,0.0,2.0,21.07,-3.024,92.57,1.032,0.23,87.97,2.103,1.182,116.38,0.998,-1.973,38.66,1.215,2.61,371.0819,130.7977,101.84428,47.056866,155.28459,154.35791,3.0392022,1.4329497,1.7139773
2.0,0.0,2.0,21.55,2.387,107.88,1.645,0.143,52.29,0.11,0.278,151.13,1.859,-2.669,41.89,1.725,2.005,424.02136,127.34945,115.158455,4.98915,121.55702,192.72575,3.2117858,1.540925,1.614755
2.0,1.0,2.0,7.86,0.657,146.63,2.327,-0.823,45.48,1.825,0.907,83.16,1.987,2.801,46.56,0.615,2.437,379.25684,131.02678,94.93862,19.533596,187.77835,103.0182,3.18695,1.8013617,1.4194647
2.0,0.0,2.0,33.88,-0.868,130.12,-0.302,2.87,87.76,-0.612,1.649,66.57,-0.269,-0.516,51.39,0.429,-1.22,347.1316,126.95636,57.984116,70.09709,215.36726,110.970276,3.102595,1.2597384,0.99137276
2.0,1.0,2.0,14.58,2.28,155.84,-1.726,-1.069,60.89,-1.151,0.171,108.98,-1.858,-2.96,77.78,-1.344,2.313,406.90256,126.644684,101.13448,92.029884,209.5711,180.80023,2.6221159,1.3668302,1.1334331
2.0,2.0,2.0,20.43,1.502,329.83,-0.841,-1.383,48.59,-0.441,-0.45,102.47,-1.067,0.864,87.79,-0.127,1.332,532.82855,124.76518,102.40183,264.9786,375.06195,169.76003,2.359516,1.0151302,1.0500591
2.0,1.0,2.0,11.66,2.789,101.6,0.638,0.305,80.5,0.567,-1.225,79.24,-0.468,-2.759,74.18,-0.345,1.991,379.2159,125.42607,106.78499,21.6162,181.9868,153.13026,3.2986488,1.5316465,1.5381112
2.0,3.0,2.0,28.12,-2.686,108.15,-0.206,2.142,49.28,-1.678,1.662,123.6,-1.064,-2.437,113.39,-1.354,2.872,350.5208,122.451965,116.05391,281.2755,123.19223,234.50764,1.4757863,1.5482843,1.0164334
2.0,1.0,2.0,22.78,-3.006,79.86,-0.533,0.591,60.62,-1.869,-0.422,51.64,0.77,-2.547,43.29,0.759,1.991,380.1272,120.67453,72.436226,68.25569,110.92757,94.92857,3.382252,1.676623,1.7452198
2.0,1.0,2.0,37.04,1.797,163.67,-0.55,-2.448,41.83,0.012,-0.95,79.34,-1.486,0.809,33.56,-0.965,0.892,352.4606,122.13363,27.52421,60.820942,200.31027,109.72629,3.1659966,1.5999525,0.52756983
